word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
at,,1sg_a,1st (excl) Person Singular,52055,,,,boru1252,castro-2010
at,,1sg_s,1st (excl) Person Singular,52054,,,,boru1252,castro-2010
at,,1sg_o,1st (excl) Person Singular,52053,,,,boru1252,castro-2010
"at, ad, aʔr",,1sg_p,1st (excl) Person Singular,52052,,,,boru1252,castro-2010
diʔ roh,,1du_a,1st (excl) Person Dual,52051,,,,boru1252,castro-2010
diʔ roh,,1du_s,1st (excl) Person Dual,52050,,,,boru1252,castro-2010
diʔ roh,,1du_o,1st (excl) Person Dual,52049,,,,boru1252,castro-2010
diʔ roh,,1du_p,1st (excl) Person Dual,52048,,,,boru1252,castro-2010
diʔ roh,,1pl_a,1st (excl) Person Plural,52047,,,,boru1252,castro-2010
diʔ roh,,1pl_s,1st (excl) Person Plural,52046,,,,boru1252,castro-2010
diʔ roh,,1pl_o,1st (excl) Person Plural,52045,,,,boru1252,castro-2010
diʔ roh,,1pl_p,1st (excl) Person Plural,52044,,,,boru1252,castro-2010
diʔ roh,,12du_a,1st (incl) Person Dual,52043,,,,boru1252,castro-2010
diʔ roh,,12du_s,1st (incl) Person Dual,52042,,,,boru1252,castro-2010
diʔ roh,,12du_o,1st (incl) Person Dual,52041,,,,boru1252,castro-2010
diʔ roh,,12du_p,1st (incl) Person Dual,52040,,,,boru1252,castro-2010
diʔ roh,,12pl_a,1st (incl) Person Plural,52039,,,,boru1252,castro-2010
diʔ roh,,12pl_s,1st (incl) Person Plural,52038,,,,boru1252,castro-2010
diʔ roh,,12pl_o,1st (incl) Person Plural,52037,,,,boru1252,castro-2010
diʔ roh,,12pl_p,1st (incl) Person Plural,52036,,,,boru1252,castro-2010
beʔ,,2sg_a,2nd Person Singular,52035,,,,boru1252,castro-2010
beʔ,,2sg_s,2nd Person Singular,52034,,,,boru1252,castro-2010
beʔ,,2sg_o,2nd Person Singular,52033,,,,boru1252,castro-2010
beʔ,,2sg_p,2nd Person Singular,52032,,,,boru1252,castro-2010
beʔ roh,,2du_a,2nd Person Dual,52031,,,,boru1252,castro-2010
beʔ roh,,2du_s,2nd Person Dual,52030,,,,boru1252,castro-2010
beʔ roh,,2du_o,2nd Person Dual,52029,,,,boru1252,castro-2010
beʔ roh,,2du_p,2nd Person Dual,52028,,,,boru1252,castro-2010
beʔ roh,,2pl_a,2nd Person Plural,52027,,,,boru1252,castro-2010
beʔ roh,,2pl_s,2nd Person Plural,52026,,,,boru1252,castro-2010
beʔ roh,,2pl_o,2nd Person Plural,52025,,,,boru1252,castro-2010
beʔ roh,,2pl_p,2nd Person Plural,52024,,,,boru1252,castro-2010
iʔ,,3sg_m_a,3rd Person Singular Masculine,52023,,,,boru1252,castro-2010
iʔ,,3sg_m_s,3rd Person Singular Masculine,52022,,,,boru1252,castro-2010
iʔ,,3sg_m_o,3rd Person Singular Masculine,52021,,,,boru1252,castro-2010
iʔ,,3sg_m_p,3rd Person Singular Masculine,52020,,,,boru1252,castro-2010
iʔ,,3sg_n_a,3rd Person Singular Neuter,52019,,,,boru1252,castro-2010
iʔ,,3sg_n_s,3rd Person Singular Neuter,52018,,,,boru1252,castro-2010
iʔ,,3sg_n_o,3rd Person Singular Neuter,52017,,,,boru1252,castro-2010
iʔ,,3sg_n_p,3rd Person Singular Neuter,52016,,,,boru1252,castro-2010
iʔ roh,,3d-a,3rd Person Dual,52015,,,,boru1252,castro-2010
iʔ roh,,3d-s,3rd Person Dual,52014,,,,boru1252,castro-2010
iʔ roh,,3d-o,3rd Person Dual,52013,,,,boru1252,castro-2010
iʔ roh,,3d-p,3rd Person Dual,52012,,,,boru1252,castro-2010
iʔ roh,,3p-a,3rd Person Plural,52011,,,,boru1252,castro-2010
iʔ roh,,3p-s,3rd Person Plural,52010,,,,boru1252,castro-2010
iʔ roh,,3p-o,3rd Person Plural,52009,,,,boru1252,castro-2010
iʔ roh,,3p-p,3rd Person Plural,52008,,,,boru1252,castro-2010
