word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
mʉ̃,,1sg_a,1st (excl) Person Singular,53274,,,,embe1262,pardo-and-aguirre-1993
mʉ̃,,1sg_s,1st (excl) Person Singular,53273,,,,embe1262,pardo-and-aguirre-1993
mʉ̃,,1sg_o,1st (excl) Person Singular,53272,,,,embe1262,pardo-and-aguirre-1993
mʉ̃,,1sg_p,1st (excl) Person Singular,53271,,,,embe1262,pardo-and-aguirre-1993
dači,,1du_a,1st (excl) Person Dual,53270,,,,embe1262,pardo-and-aguirre-1993
dači,,1du_s,1st (excl) Person Dual,53269,,,,embe1262,pardo-and-aguirre-1993
dači,,1du_o,1st (excl) Person Dual,53268,,,,embe1262,pardo-and-aguirre-1993
dači,,1du_p,1st (excl) Person Dual,53267,,,,embe1262,pardo-and-aguirre-1993
dači,,1pl_a,1st (excl) Person Plural,53266,,,,embe1262,pardo-and-aguirre-1993
dači,,1pl_s,1st (excl) Person Plural,53265,,,,embe1262,pardo-and-aguirre-1993
dači,,1pl_o,1st (excl) Person Plural,53264,,,,embe1262,pardo-and-aguirre-1993
dači,,1pl_p,1st (excl) Person Plural,53263,,,,embe1262,pardo-and-aguirre-1993
dači,,12du_a,1st (incl) Person Dual,53262,,,,embe1262,pardo-and-aguirre-1993
dači,,12du_s,1st (incl) Person Dual,53261,,,,embe1262,pardo-and-aguirre-1993
dači,,12du_o,1st (incl) Person Dual,53260,,,,embe1262,pardo-and-aguirre-1993
dači,,12du_p,1st (incl) Person Dual,53259,,,,embe1262,pardo-and-aguirre-1993
dači,,12pl_a,1st (incl) Person Plural,53258,,,,embe1262,pardo-and-aguirre-1993
dači,,12pl_s,1st (incl) Person Plural,53257,,,,embe1262,pardo-and-aguirre-1993
dači,,12pl_o,1st (incl) Person Plural,53256,,,,embe1262,pardo-and-aguirre-1993
dači,,12pl_p,1st (incl) Person Plural,53255,,,,embe1262,pardo-and-aguirre-1993
bʉ,,2sg_a,2nd Person Singular,53254,,,,embe1262,pardo-and-aguirre-1993
bʉ,,2sg_s,2nd Person Singular,53253,,,,embe1262,pardo-and-aguirre-1993
bʉ,,2sg_o,2nd Person Singular,53252,,,,embe1262,pardo-and-aguirre-1993
bʉ,,2sg_p,2nd Person Singular,53251,,,,embe1262,pardo-and-aguirre-1993
mači/mãrã,,2du_a,2nd Person Dual,53250,,,,embe1262,pardo-and-aguirre-1993
mači/mãrã,,2du_s,2nd Person Dual,53249,,,,embe1262,pardo-and-aguirre-1993
mači/mãrã,,2du_o,2nd Person Dual,53248,,,,embe1262,pardo-and-aguirre-1993
mači/mãrã,,2du_p,2nd Person Dual,53247,,,,embe1262,pardo-and-aguirre-1993
mači/mãrã,,2pl_a,2nd Person Plural,53246,,,,embe1262,pardo-and-aguirre-1993
mači/mãrã,,2pl_s,2nd Person Plural,53245,,,,embe1262,pardo-and-aguirre-1993
mači/mãrã,,2pl_o,2nd Person Plural,53244,,,,embe1262,pardo-and-aguirre-1993
mači/mãrã,,2pl_p,2nd Person Plural,53243,,,,embe1262,pardo-and-aguirre-1993
iči,,3sg_m_a,3rd Person Singular Masculine,53242,,,,embe1262,pardo-and-aguirre-1993
iči,,3sg_m_s,3rd Person Singular Masculine,53241,,,,embe1262,pardo-and-aguirre-1993
iči,,3sg_m_o,3rd Person Singular Masculine,53240,,,,embe1262,pardo-and-aguirre-1993
iči,,3sg_m_p,3rd Person Singular Masculine,53239,,,,embe1262,pardo-and-aguirre-1993
iči,,3sg_n_a,3rd Person Singular Neuter,53238,,,,embe1262,pardo-and-aguirre-1993
iči,,3sg_n_s,3rd Person Singular Neuter,53237,,,,embe1262,pardo-and-aguirre-1993
iči,,3sg_n_o,3rd Person Singular Neuter,53236,,,,embe1262,pardo-and-aguirre-1993
iči,,3sg_n_p,3rd Person Singular Neuter,53235,,,,embe1262,pardo-and-aguirre-1993
ãči,,3d-a,3rd Person Dual,53234,,,,embe1262,pardo-and-aguirre-1993
ãči,,3d-s,3rd Person Dual,53233,,,,embe1262,pardo-and-aguirre-1993
ãči,,3d-o,3rd Person Dual,53232,,,,embe1262,pardo-and-aguirre-1993
ãči,,3d-p,3rd Person Dual,53231,,,,embe1262,pardo-and-aguirre-1993
ãči,,3p-a,3rd Person Plural,53230,,,,embe1262,pardo-and-aguirre-1993
ãči,,3p-s,3rd Person Plural,53229,,,,embe1262,pardo-and-aguirre-1993
ãči,,3p-o,3rd Person Plural,53228,,,,embe1262,pardo-and-aguirre-1993
ãči,,3p-p,3rd Person Plural,53227,,,,embe1262,pardo-and-aguirre-1993
