word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mʉ̃;;1sg_a;1st (excl) Person Singular;53226;;;;embe1259;pardo-and-aguirre-1993
mʉ̃;;1sg_s;1st (excl) Person Singular;53225;;;;embe1259;pardo-and-aguirre-1993
mʉ̃;;1sg_o;1st (excl) Person Singular;53224;;;;embe1259;pardo-and-aguirre-1993
mʉ̃;;1sg_p;1st (excl) Person Singular;53223;;;;embe1259;pardo-and-aguirre-1993
tači;;1du_a;1st (excl) Person Dual;53222;;;;embe1259;pardo-and-aguirre-1993
tači;;1du_s;1st (excl) Person Dual;53221;;;;embe1259;pardo-and-aguirre-1993
tači;;1du_o;1st (excl) Person Dual;53220;;;;embe1259;pardo-and-aguirre-1993
tači;;1du_p;1st (excl) Person Dual;53219;;;;embe1259;pardo-and-aguirre-1993
tači;;1pl_a;1st (excl) Person Plural;53218;;;;embe1259;pardo-and-aguirre-1993
tači;;1pl_s;1st (excl) Person Plural;53217;;;;embe1259;pardo-and-aguirre-1993
tači;;1pl_o;1st (excl) Person Plural;53216;;;;embe1259;pardo-and-aguirre-1993
tači;;1pl_p;1st (excl) Person Plural;53215;;;;embe1259;pardo-and-aguirre-1993
tači;;12du_a;1st (incl) Person Dual;53214;;;;embe1259;pardo-and-aguirre-1993
tači;;12du_s;1st (incl) Person Dual;53213;;;;embe1259;pardo-and-aguirre-1993
tači;;12du_o;1st (incl) Person Dual;53212;;;;embe1259;pardo-and-aguirre-1993
tači;;12du_p;1st (incl) Person Dual;53211;;;;embe1259;pardo-and-aguirre-1993
tači;;12pl_a;1st (incl) Person Plural;53210;;;;embe1259;pardo-and-aguirre-1993
tači;;12pl_s;1st (incl) Person Plural;53209;;;;embe1259;pardo-and-aguirre-1993
tači;;12pl_o;1st (incl) Person Plural;53208;;;;embe1259;pardo-and-aguirre-1993
tači;;12pl_p;1st (incl) Person Plural;53207;;;;embe1259;pardo-and-aguirre-1993
pʉ;;2sg_a;2nd Person Singular;53206;;;;embe1259;pardo-and-aguirre-1993
pʉ;;2sg_s;2nd Person Singular;53205;;;;embe1259;pardo-and-aguirre-1993
pʉ;;2sg_o;2nd Person Singular;53204;;;;embe1259;pardo-and-aguirre-1993
pʉ;;2sg_p;2nd Person Singular;53203;;;;embe1259;pardo-and-aguirre-1993
mãrã;;2du_a;2nd Person Dual;53202;;;;embe1259;pardo-and-aguirre-1993
mãrã;;2du_s;2nd Person Dual;53201;;;;embe1259;pardo-and-aguirre-1993
mãrã;;2du_o;2nd Person Dual;53200;;;;embe1259;pardo-and-aguirre-1993
mãrã;;2du_p;2nd Person Dual;53199;;;;embe1259;pardo-and-aguirre-1993
mãrã;;2pl_a;2nd Person Plural;53198;;;;embe1259;pardo-and-aguirre-1993
mãrã;;2pl_s;2nd Person Plural;53197;;;;embe1259;pardo-and-aguirre-1993
mãrã;;2pl_o;2nd Person Plural;53196;;;;embe1259;pardo-and-aguirre-1993
mãrã;;2pl_p;2nd Person Plural;53195;;;;embe1259;pardo-and-aguirre-1993
iči;;3sg_m_a;3rd Person Singular Masculine;53194;;;;embe1259;pardo-and-aguirre-1993
iči;;3sg_m_s;3rd Person Singular Masculine;53193;;;;embe1259;pardo-and-aguirre-1993
iči;;3sg_m_o;3rd Person Singular Masculine;53192;;;;embe1259;pardo-and-aguirre-1993
iči;;3sg_m_p;3rd Person Singular Masculine;53191;;;;embe1259;pardo-and-aguirre-1993
iči;;3sg_n_a;3rd Person Singular Neuter;53190;;;;embe1259;pardo-and-aguirre-1993
iči;;3sg_n_s;3rd Person Singular Neuter;53189;;;;embe1259;pardo-and-aguirre-1993
iči;;3sg_n_o;3rd Person Singular Neuter;53188;;;;embe1259;pardo-and-aguirre-1993
iči;;3sg_n_p;3rd Person Singular Neuter;53187;;;;embe1259;pardo-and-aguirre-1993
ãči;;3d-a;3rd Person Dual;53186;;;;embe1259;pardo-and-aguirre-1993
ãči;;3d-s;3rd Person Dual;53185;;;;embe1259;pardo-and-aguirre-1993
ãči;;3d-o;3rd Person Dual;53184;;;;embe1259;pardo-and-aguirre-1993
ãči;;3d-p;3rd Person Dual;53183;;;;embe1259;pardo-and-aguirre-1993
ãči;;3p-a;3rd Person Plural;53182;;;;embe1259;pardo-and-aguirre-1993
ãči;;3p-s;3rd Person Plural;53181;;;;embe1259;pardo-and-aguirre-1993
ãči;;3p-o;3rd Person Plural;53180;;;;embe1259;pardo-and-aguirre-1993
ãči;;3p-p;3rd Person Plural;53179;;;;embe1259;pardo-and-aguirre-1993
