word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
nōmo,,1sg_a,1st (excl) Person Singular,,,,,fasu1242,may-and-loeweke-1980
ano,,1sg_s,1st (excl) Person Singular,,,,,fasu1242,may-and-loeweke-1980
ano,,1sg_o,1st (excl) Person Singular,,,,,fasu1242,may-and-loeweke-1980
ano,,1sg_p,1st (excl) Person Singular,,,,,fasu1242,may-and-loeweke-1980
nōmo,,1sg_p,1st (excl) Person Singular,,,,,fasu1242,may-and-loeweke-1980
etapo,,1du_a,1st (excl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
eto,,1du_s,1st (excl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
eto,,1du_o,1st (excl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
eto,,1du_p,1st (excl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
etapo,,1du_p,1st (excl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
isiapo,,1pl_a,1st (excl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
isu,,1pl_s,1st (excl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
isu,,1pl_o,1st (excl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
isu,,1pl_p,1st (excl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
isiapo,,1pl_p,1st (excl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
etapo,,12du_a,1st (incl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
eto,,12du_s,1st (incl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
eto,,12du_o,1st (incl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
eto,,12du_p,1st (incl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
etapo,,12du_p,1st (incl) Person Dual,,,,,fasu1242,may-and-loeweke-1980
isiapo,,12pl_a,1st (incl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
isu,,12pl_s,1st (incl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
isu,,12pl_o,1st (incl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
isu,,12pl_p,1st (incl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
isiapo,,12pl_p,1st (incl) Person Plural,,,,,fasu1242,may-and-loeweke-1980
nomo,,2sg_a,2nd Person Singular,,,,,fasu1242,may-and-loeweke-1980
ne,,2sg_s,2nd Person Singular,,,,,fasu1242,may-and-loeweke-1980
ne,,2sg_o,2nd Person Singular,,,,,fasu1242,may-and-loeweke-1980
ne,,2sg_p,2nd Person Singular,,,,,fasu1242,may-and-loeweke-1980
nomo,,2sg_p,2nd Person Singular,,,,,fasu1242,may-and-loeweke-1980
tetápo,,2du_a,2nd Person Dual,,,,,fasu1242,may-and-loeweke-1980
teto,,2du_s,2nd Person Dual,,,,,fasu1242,may-and-loeweke-1980
teto,,2du_o,2nd Person Dual,,,,,fasu1242,may-and-loeweke-1980
teto,,2du_p,2nd Person Dual,,,,,fasu1242,may-and-loeweke-1980
tetápo,,2du_p,2nd Person Dual,,,,,fasu1242,may-and-loeweke-1980
repo,,2pl_a,2nd Person Plural,,,,,fasu1242,may-and-loeweke-1980
re,,2pl_s,2nd Person Plural,,,,,fasu1242,may-and-loeweke-1980
re,,2pl_o,2nd Person Plural,,,,,fasu1242,may-and-loeweke-1980
re,,2pl_p,2nd Person Plural,,,,,fasu1242,may-and-loeweke-1980
repo,,2pl_p,2nd Person Plural,,,,,fasu1242,may-and-loeweke-1980
epo,,3sg_m_a,3rd Person Singular Masculine,,,,,fasu1242,may-and-loeweke-1980
e,,3sg_m_s,3rd Person Singular Masculine,,,,,fasu1242,may-and-loeweke-1980
e,,3sg_m_o,3rd Person Singular Masculine,,,,,fasu1242,may-and-loeweke-1980
e,,3sg_m_p,3rd Person Singular Masculine,,,,,fasu1242,may-and-loeweke-1980
epo,,3sg_m_p,3rd Person Singular Masculine,,,,,fasu1242,may-and-loeweke-1980
epo,,3sg_f_a,3rd Person Singular Feminine,,,,,fasu1242,may-and-loeweke-1980
e,,3sg_f_s,3rd Person Singular Feminine,,,,,fasu1242,may-and-loeweke-1980
e,,3sg_f_o,3rd Person Singular Feminine,,,,,fasu1242,may-and-loeweke-1980
e,,3sg_f_p,3rd Person Singular Feminine,,,,,fasu1242,may-and-loeweke-1980
epo,,3sg_f_p,3rd Person Singular Feminine,,,,,fasu1242,may-and-loeweke-1980
epo,,3sg_n_a,3rd Person Singular Neuter,,,,,fasu1242,may-and-loeweke-1980
e,,3sg_n_s,3rd Person Singular Neuter,,,,,fasu1242,may-and-loeweke-1980
e,,3sg_n_o,3rd Person Singular Neuter,,,,,fasu1242,may-and-loeweke-1980
e,,3sg_n_p,3rd Person Singular Neuter,,,,,fasu1242,may-and-loeweke-1980
epo,,3sg_n_p,3rd Person Singular Neuter,,,,,fasu1242,may-and-loeweke-1980
tetapō,,3du_m_a,3rd Person Dual Masculine,,,,,fasu1242,may-and-loeweke-1980
