word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ŋāyi,,1sg_a,1st (excl) Person Singular,35579,,,,gaga1251,harvey-2002
ŋāyi,,1sg_s,1st (excl) Person Singular,35580,,,,gaga1251,harvey-2002
ŋāyi,,1sg_o,1st (excl) Person Singular,42887,,,,gaga1251,harvey-2002
ŋāyi,,1sg_p,1st (excl) Person Singular,42888,,,,gaga1251,harvey-2002
ŋāñja,,1du_a,1st (excl) Person Dual,35581,,,,gaga1251,harvey-2002
ŋāñja,,1du_s,1st (excl) Person Dual,35582,,,,gaga1251,harvey-2002
ŋāñja,,1du_o,1st (excl) Person Dual,42889,,,,gaga1251,harvey-2002
ŋāñja,,1du_p,1st (excl) Person Dual,42890,,,,gaga1251,harvey-2002
ŋāmba,,1pl_a,1st (excl) Person Plural,35583,,,,gaga1251,harvey-2002
ŋāmba,,1pl_s,1st (excl) Person Plural,35584,,,,gaga1251,harvey-2002
ŋāmba,,1pl_o,1st (excl) Person Plural,42891,,,,gaga1251,harvey-2002
ŋāmba,,1pl_p,1st (excl) Person Plural,42892,,,,gaga1251,harvey-2002
manāñja,,12du_a,1st (incl) Person Dual,35585,,,,gaga1251,harvey-2002
manāñja,,12du_s,1st (incl) Person Dual,35586,,,,gaga1251,harvey-2002
manāñja,,12du_o,1st (incl) Person Dual,42893,,,,gaga1251,harvey-2002
manāñja,,12du_p,1st (incl) Person Dual,42894,,,,gaga1251,harvey-2002
manāda,,12pl_a,1st (incl) Person Plural,35587,,,,gaga1251,harvey-2002
manāda,,12pl_s,1st (incl) Person Plural,35588,,,,gaga1251,harvey-2002
manāda,,12pl_o,1st (incl) Person Plural,42895,,,,gaga1251,harvey-2002
manāda,,12pl_p,1st (incl) Person Plural,42896,,,,gaga1251,harvey-2002
ŋīnja,,2sg_a,2nd Person Singular,35589,,,,gaga1251,harvey-2002
ŋīnja,,2sg_s,2nd Person Singular,35590,,,,gaga1251,harvey-2002
ŋīnja,,2sg_o,2nd Person Singular,42897,,,,gaga1251,harvey-2002
ŋīnja,,2sg_p,2nd Person Singular,42898,,,,gaga1251,harvey-2002
ŋinjāñja,,2du_a,2nd Person Dual,35591,,,,gaga1251,harvey-2002
ŋinjāñja,,2du_s,2nd Person Dual,35592,,,,gaga1251,harvey-2002
ŋinjāñja,,2du_o,2nd Person Dual,42899,,,,gaga1251,harvey-2002
ŋinjāñja,,2du_p,2nd Person Dual,42900,,,,gaga1251,harvey-2002
ŋinjēmba,,2pl_a,2nd Person Plural,35593,,,,gaga1251,harvey-2002
ŋinjēmba,,2pl_s,2nd Person Plural,35594,,,,gaga1251,harvey-2002
nāwu,,3sg_m_a,3rd Person Singular Masculine,35595,,,,gaga1251,harvey-2002
nāwu,,3sg_m_s,3rd Person Singular Masculine,35596,,,,gaga1251,harvey-2002
nāwu,,3sg_m_o,3rd Person Singular Masculine,42901,,,,gaga1251,harvey-2002
nāwu,,3sg_m_p,3rd Person Singular Masculine,42902,,,,gaga1251,harvey-2002
ŋāyu,,3sg_f_a,3rd Person Singular Feminine,35597,,,,gaga1251,harvey-2002
ŋāyu,,3sg_f_s,3rd Person Singular Feminine,35598,,,,gaga1251,harvey-2002
ŋāyu,,3sg_n_a,3rd Person Singular Neuter,35599,,,,gaga1251,harvey-2002
ŋāyu,,3sg_n_s,3rd Person Singular Neuter,35600,,,,gaga1251,harvey-2002
ŋāyu,,3sg_n_o,3rd Person Singular Neuter,42903,,,,gaga1251,harvey-2002
ŋāyu,,3sg_n_p,3rd Person Singular Neuter,42904,,,,gaga1251,harvey-2002
nowōmba,,3du_m_a,3rd Person Dual Masculine,35601,,,,gaga1251,harvey-2002
nowōmba,,3du_m_s,3rd Person Dual Masculine,35602,,,,gaga1251,harvey-2002
nowōmba,,3du_f_a,3rd Person Dual Feminine,35603,,,,gaga1251,harvey-2002
nowōmba,,3du_f_s,3rd Person Dual Feminine,35604,,,,gaga1251,harvey-2002
nowōmba,,3du_n_a,3rd Person Dual Neuter,35605,,,,gaga1251,harvey-2002
nowōmba,,3du_n_s,3rd Person Dual Neuter,35606,,,,gaga1251,harvey-2002
nowōmba,,3pl_m_a,3rd Person Plural Masculine,35607,,,,gaga1251,harvey-2002
nowōmba,,3pl_m_s,3rd Person Plural Masculine,35608,,,,gaga1251,harvey-2002
nowōmba,,3pl_f_a,3rd Person Plural Feminine,35609,,,,gaga1251,harvey-2002
nowōmba,,3pl_f_s,3rd Person Plural Feminine,35610,,,,gaga1251,harvey-2002
nowōmba,,3pl_n_a,3rd Person Plural Neuter,35611,,,,gaga1251,harvey-2002
nowōmba,,3pl_n_s,3rd Person Plural Neuter,35612,,,,gaga1251,harvey-2002
nowōñja,,3d-a,3rd Person Dual,36398,,,,gaga1251,harvey-2002
nowōñja,,3d-s,3rd Person Dual,36625,,,,gaga1251,harvey-2002
nowōñja,,3d-o,3rd Person Dual,42886,,,,gaga1251,harvey-2002
nowōñja,,3d-p,3rd Person Dual,42885,,,,gaga1251,harvey-2002
nowōmba,,3p-a,3rd Person Plural,37280,,,,gaga1251,harvey-2002
nowōmba,,3p-s,3rd Person Plural,37505,,,,gaga1251,harvey-2002
nowōmba,,3p-o,3rd Person Plural,42884,,,,gaga1251,harvey-2002
nowōmba,,3p-p,3rd Person Plural,42883,,,,gaga1251,harvey-2002
