word,ipa,parameter,description,alternative,comment,translation,glottocode,source
ʔã́h,,1sg_a,1st singular transitive subject,,,,hupy1235,epps-2008-hup
ʔã́h,,1sg_s,1st singular intransitive subject,,,,hupy1235,epps-2008-hup
ʔǎn,,1sg_o,1st singular transitive object,,,,hupy1235,epps-2008-hup
nɨ̌,,1sg_p,1st singular possessive,,,,hupy1235,epps-2008-hup
ʔɨ́n,,12du_a,1st dual inclusive transitive subject,,,,hupy1235,epps-2008-hup
ʔɨ́n,,12du_s,1st dual inclusive intransitive subject,,,,hupy1235,epps-2008-hup
ʔɨ́n-ǎn,,12du_o,1st dual inclusive transitive object,,,,hupy1235,epps-2008-hup
ʔɨnɨ̌h,,12du_p,1st dual inclusive possessive,,,,hupy1235,epps-2008-hup
ʔɨ́n,,1du_a,1st dual exclusive transitive subject,,,,hupy1235,epps-2008-hup
ʔɨ́n,,1du_s,1st dual exclusive intransitive subject,,,,hupy1235,epps-2008-hup
ʔɨ́n-ǎn,,1du_o,1st dual exclusive transitive object,,,,hupy1235,epps-2008-hup
ʔɨnɨ̌h,,1du_p,1st dual exclusive possessive,,,,hupy1235,epps-2008-hup
ʔɨ́n,,12pl_a,1st plural inclusive transitive subject,,,,hupy1235,epps-2008-hup
ʔɨ́n,,12pl_s,1st plural inclusive intransitive subject,,,,hupy1235,epps-2008-hup
ʔɨ́n-ǎn,,12pl_o,1st plural inclusive transitive object,,,,hupy1235,epps-2008-hup
ʔɨnɨ̌h,,12pl_p,1st plural inclusive possessive,,,,hupy1235,epps-2008-hup
ʔɨ́n,,1pl_a,1st plural exclusive transitive subject,,,,hupy1235,epps-2008-hup
ʔɨ́n,,1pl_s,1st plural exclusive intransitive subject,,,,hupy1235,epps-2008-hup
ʔɨ́n-ǎn,,1pl_o,1st plural exclusive transitive object,,,,hupy1235,epps-2008-hup
ʔɨnɨ̌h,,1pl_p,1st plural exclusive possessive,,,,hupy1235,epps-2008-hup
ʔám,,2sg_a,2nd singular transitive subject,,,,hupy1235,epps-2008-hup
ʔám,,2sg_s,2nd singular intransitive subject,,,,hupy1235,epps-2008-hup
ʔám-ǎn,,2sg_o,2nd singular transitive object,,,,hupy1235,epps-2008-hup
ʔamɨ̌h,,2sg_p,2nd singular possessive,,,,hupy1235,epps-2008-hup
nɨ́ŋ,,2du_a,2nd dual transitive subject,,,,hupy1235,epps-2008-hup
nɨ́ŋ,,2du_s,2nd dual intransitive subject,,,,hupy1235,epps-2008-hup
nɨ́ŋ-ǎn,,2du_o,2nd dual transitive object,,,,hupy1235,epps-2008-hup
nɨŋɨ̌h,,2du_p,2nd dual possessive,,,,hupy1235,epps-2008-hup
nɨ́ŋ,,2pl_a,2nd plural transitive subject,,,,hupy1235,epps-2008-hup
nɨ́ŋ,,2pl_s,2nd plural intransitive subject,,,,hupy1235,epps-2008-hup
nɨ́ŋ-ǎn,,2pl_o,2nd plural transitive object,,,,hupy1235,epps-2008-hup
nɨŋɨ̌h,,2pl_p,2nd plural possessive,,,,hupy1235,epps-2008-hup
tɨ́h,,3sg_m_a,3rd singular gender1 transitive subject,,,,hupy1235,epps-2008-hup
tɨ́h,,3sg_m_s,3rd singular gender1 intransitive subject,,,,hupy1235,epps-2008-hup
tɨ́h-ǎn,,3sg_m_o,3rd singular gender1 transitive object,,,,hupy1235,epps-2008-hup
tɨ́nɨ̌h,,3sg_m_p,3rd singular gender1 possessive,,,,hupy1235,epps-2008-hup
tɨ́h,,3sg_f_a,3rd singular gender2 transitive subject,,,,hupy1235,epps-2008-hup
tɨ́h,,3sg_f_s,3rd singular gender2 intransitive subject,,,,hupy1235,epps-2008-hup
tɨ́h-ǎn,,3sg_f_o,3rd singular gender2 transitive object,,,,hupy1235,epps-2008-hup
tɨ́nɨ̌h,,3sg_f_p,3rd singular gender2 possessive,,,,hupy1235,epps-2008-hup
hɨ́d,,3d-a,3rd dual transitive subject,,,,hupy1235,epps-2008-hup
hɨ́d,,3d-s,3rd dual intransitive subject,,,,hupy1235,epps-2008-hup
hɨ́d-ǎn,,3d-o,3rd dual transitive object,,,,hupy1235,epps-2008-hup
hɨdnɨ̌h,,3d-p,3rd dual possessive,,,,hupy1235,epps-2008-hup
hɨ́d,,3p-a,3rd plural transitive subject,,,,hupy1235,epps-2008-hup
hɨ́d,,3p-s,3rd plural intransitive subject,,,,hupy1235,epps-2008-hup
hɨ́d-ǎn,,3p-o,3rd plural transitive object,,,,hupy1235,epps-2008-hup
hɨdnɨ̌h,,3p-p,3rd plural possessive,,,,hupy1235,epps-2008-hup
hɨ́d,,3du_m_a,3rd dual gender1 transitive subject,,,,hupy1235,epps-2008-hup
hɨ́d,,3du_m_s,3rd dual gender1 intransitive subject,,,,hupy1235,epps-2008-hup
hɨ́d-ǎn,,3du_m_o,3rd dual gender1 transitive object,,,,hupy1235,epps-2008-hup
hɨdnɨ̌h,,3du_m_p,3rd dual gender1 possessive,,,,hupy1235,epps-2008-hup
hɨ́d,,3du_f_a,3rd dual gender2 transitive subject,,,,hupy1235,epps-2008-hup
hɨ́d,,3du_f_s,3rd dual gender2 intransitive subject,,,,hupy1235,epps-2008-hup
hɨ́d-ǎn,,3du_f_o,3rd dual gender2 transitive object,,,,hupy1235,epps-2008-hup
hɨdnɨ̌h,,3du_f_p,3rd dual gender2 possessive,,,,hupy1235,epps-2008-hup
hɨ́d,,3du_n_a,3rd dual gender3 transitive subject,,,,hupy1235,epps-2008-hup
hɨ́d,,3du_n_s,3rd dual gender3 intransitive subject,,,,hupy1235,epps-2008-hup
hɨ́d-ǎn,,3du_n_o,3rd dual gender3 transitive object,,,,hupy1235,epps-2008-hup
hɨdnɨ̌h,,3du_n_p,3rd dual gender3 possessive,,,,hupy1235,epps-2008-hup
hɨ́d,,3pl_m_a,3rd plural gender1 transitive subject,,,,hupy1235,epps-2008-hup
hɨ́d,,3pl_m_s,3rd plural gender1 intransitive subject,,,,hupy1235,epps-2008-hup
hɨ́d-ǎn,,3pl_m_o,3rd plural gender1 transitive object,,,,hupy1235,epps-2008-hup
hɨdnɨ̌h,,3pl_m_p,3rd plural gender1 possessive,,,,hupy1235,epps-2008-hup
hɨ́d,,3pl_f_a,3rd plural gender2 transitive subject,,,,hupy1235,epps-2008-hup
hɨ́d,,3pl_f_s,3rd plural gender2 intransitive subject,,,,hupy1235,epps-2008-hup
hɨ́d-ǎn,,3pl_f_o,3rd plural gender2 transitive object,,,,hupy1235,epps-2008-hup
hɨdnɨ̌h,,3pl_f_p,3rd plural gender2 possessive,,,,hupy1235,epps-2008-hup
hɨ́d,,3pl_n_a,3rd plural gender3 transitive subject,,,,hupy1235,epps-2008-hup
hɨ́d,,3pl_n_s,3rd plural gender3 intransitive subject,,,,hupy1235,epps-2008-hup
hɨ́d-ǎn,,3pl_n_o,3rd plural gender3 transitive object,,,,hupy1235,epps-2008-hup
hɨdnɨ̌h,,3pl_n_p,3rd plural gender3 possessive,,,,hupy1235,epps-2008-hup
tɨ́h,,3sg_n_a,3rd singular gender3 transitive subject,,,,hupy1235,epps-2008-hup
tɨ́h,,3sg_n_s,3rd singular gender3 intransitive subject,,,,hupy1235,epps-2008-hup
tɨ́h-ǎn,,3sg_n_o,3rd singular gender3 transitive object,,,,hupy1235,epps-2008-hup
tɨ́nɨ̌h,,3sg_n_p,3rd singular gender3 possessive,,,,hupy1235,epps-2008-hup
