word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
"wèém, wã-",,1sg_a,1st (excl) Person Singular,53609,,,,cacu1241,bolanos-and-epps-2009
"wèém, wã-",,1sg_s,1st (excl) Person Singular,53608,,,,cacu1241,bolanos-and-epps-2009
"wèém, wã-",,1sg_o,1st (excl) Person Singular,53607,,,,cacu1241,bolanos-and-epps-2009
"wèém, wã-",,1sg_p,1st (excl) Person Singular,53606,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,1du_a,1st (excl) Person Dual,53605,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,1du_s,1st (excl) Person Dual,53604,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,1du_o,1st (excl) Person Dual,53603,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,1du_p,1st (excl) Person Dual,53602,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,1pl_a,1st (excl) Person Plural,53601,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,1pl_s,1st (excl) Person Plural,53600,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,1pl_o,1st (excl) Person Plural,53599,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,1pl_p,1st (excl) Person Plural,53598,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,12du_a,1st (incl) Person Dual,53597,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,12du_s,1st (incl) Person Dual,53596,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,12du_o,1st (incl) Person Dual,53595,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,12du_p,1st (incl) Person Dual,53594,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,12pl_a,1st (incl) Person Plural,53593,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,12pl_s,1st (incl) Person Plural,53592,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,12pl_o,1st (incl) Person Plural,53591,,,,cacu1241,bolanos-and-epps-2009
"fìít, fíì-",,12pl_p,1st (incl) Person Plural,53590,,,,cacu1241,bolanos-and-epps-2009
"mèém, ma-",,2sg_a,2nd Person Singular,53589,,,,cacu1241,bolanos-and-epps-2009
"mèém, ma-",,2sg_s,2nd Person Singular,53588,,,,cacu1241,bolanos-and-epps-2009
"mèém, ma-",,2sg_o,2nd Person Singular,53587,,,,cacu1241,bolanos-and-epps-2009
"mèém, ma-",,2sg_p,2nd Person Singular,53586,,,,cacu1241,bolanos-and-epps-2009
"yèébm, ɲí(ì)-",,2du_a,2nd Person Dual,53585,,,,cacu1241,bolanos-and-epps-2009
"yèébm, ɲí(ì)-",,2du_s,2nd Person Dual,53584,,,,cacu1241,bolanos-and-epps-2009
"yèébm, ɲí(ì)-",,2du_o,2nd Person Dual,53583,,,,cacu1241,bolanos-and-epps-2009
"yèébm, ɲí(ì)-",,2du_p,2nd Person Dual,53582,,,,cacu1241,bolanos-and-epps-2009
"yèébm, ɲí(ì)-",,2pl_a,2nd Person Plural,53581,,,,cacu1241,bolanos-and-epps-2009
"yèébm, ɲí(ì)-",,2pl_s,2nd Person Plural,53580,,,,cacu1241,bolanos-and-epps-2009
"yèébm, ɲí(ì)-",,2pl_o,2nd Person Plural,53579,,,,cacu1241,bolanos-and-epps-2009
"yèébm, ɲí(ì)-",,2pl_p,2nd Person Plural,53578,,,,cacu1241,bolanos-and-epps-2009
"kàán/kan, áà-",,3sg_m_a,3rd Person Singular Masculine,53577,,,,cacu1241,bolanos-and-epps-2009
"kàán/kan, áà-",,3sg_m_s,3rd Person Singular Masculine,53576,,,,cacu1241,bolanos-and-epps-2009
"kàán/kan, áà-",,3sg_m_o,3rd Person Singular Masculine,53575,,,,cacu1241,bolanos-and-epps-2009
"kàán/kan, áà-",,3sg_m_p,3rd Person Singular Masculine,53574,,,,cacu1241,bolanos-and-epps-2009
"kà̀ánʔ, míì-",,3sg_n_a,3rd Person Singular Neuter,53573,,,,cacu1241,bolanos-and-epps-2009
"kà̀ánʔ, míì-",,3sg_n_s,3rd Person Singular Neuter,53572,,,,cacu1241,bolanos-and-epps-2009
"kà̀ánʔ, míì-",,3sg_n_o,3rd Person Singular Neuter,53571,,,,cacu1241,bolanos-and-epps-2009
"kà̀ánʔ, míì-",,3sg_n_p,3rd Person Singular Neuter,53570,,,,cacu1241,bolanos-and-epps-2009
"kèét, -ĩ",,3d-a,3rd Person Dual,53569,,,,cacu1241,bolanos-and-epps-2009
"kèét, -ĩ",,3d-s,3rd Person Dual,53568,,,,cacu1241,bolanos-and-epps-2009
"kèét, -ĩ",,3d-o,3rd Person Dual,53567,,,,cacu1241,bolanos-and-epps-2009
"kèét, -ĩ",,3d-p,3rd Person Dual,53566,,,,cacu1241,bolanos-and-epps-2009
"kèét, -ĩ",,3p-a,3rd Person Plural,53565,,,,cacu1241,bolanos-and-epps-2009
"kèét, -ĩ",,3p-s,3rd Person Plural,53564,,,,cacu1241,bolanos-and-epps-2009
"kèét, -ĩ",,3p-o,3rd Person Plural,53563,,,,cacu1241,bolanos-and-epps-2009
"kèét, -ĩ",,3p-p,3rd Person Plural,53562,,,,cacu1241,bolanos-and-epps-2009
