word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
naa,,1sg_a,1st (excl) Person Singular,42302,,,,kamu1260,routamaa-1994
naa,,1sg_s,1st (excl) Person Singular,42301,,,,kamu1260,routamaa-1994
naa,,1sg_o,1st (excl) Person Singular,42300,,,,kamu1260,routamaa-1994
naa,,1sg_p,1st (excl) Person Singular,42299,,,,kamu1260,routamaa-1994
die,,1du_a,1st (excl) Person Dual,42298,,,,kamu1260,routamaa-1994
die,,1du_s,1st (excl) Person Dual,42297,,,,kamu1260,routamaa-1994
die,,1du_o,1st (excl) Person Dual,42296,,,,kamu1260,routamaa-1994
die,,1du_p,1st (excl) Person Dual,42295,,,,kamu1260,routamaa-1994
die,,1pl_a,1st (excl) Person Plural,42294,,,,kamu1260,routamaa-1994
die,,1pl_s,1st (excl) Person Plural,42293,,,,kamu1260,routamaa-1994
die,,1pl_o,1st (excl) Person Plural,42292,,,,kamu1260,routamaa-1994
die,,1pl_p,1st (excl) Person Plural,42291,,,,kamu1260,routamaa-1994
die,,12du_a,1st (incl) Person Dual,42290,,,,kamu1260,routamaa-1994
die,,12du_s,1st (incl) Person Dual,42289,,,,kamu1260,routamaa-1994
die,,12du_o,1st (incl) Person Dual,42288,,,,kamu1260,routamaa-1994
die,,12du_p,1st (incl) Person Dual,42287,,,,kamu1260,routamaa-1994
die,,12pl_a,1st (incl) Person Plural,42286,,,,kamu1260,routamaa-1994
die,,12pl_s,1st (incl) Person Plural,42285,,,,kamu1260,routamaa-1994
die,,12pl_o,1st (incl) Person Plural,42284,,,,kamu1260,routamaa-1994
die,,12pl_p,1st (incl) Person Plural,42283,,,,kamu1260,routamaa-1994
"we, waskamu",,2sg_a,2nd Person Singular,42282,,,,kamu1260,routamaa-1994
"we, waskamu",,2sg_s,2nd Person Singular,42281,,,,kamu1260,routamaa-1994
"we, waskamu",,2sg_o,2nd Person Singular,42280,,,,kamu1260,routamaa-1994
"we, waskamu",,2sg_p,2nd Person Singular,42279,,,,kamu1260,routamaa-1994
"uwe, wuskamu",,2du_a,2nd Person Dual,42278,,,,kamu1260,routamaa-1994
"uwe, wuskamu",,2du_s,2nd Person Dual,42277,,,,kamu1260,routamaa-1994
"uwe, wuskamu",,2du_o,2nd Person Dual,42276,,,,kamu1260,routamaa-1994
"uwe, wuskamu",,2du_p,2nd Person Dual,42275,,,,kamu1260,routamaa-1994
"uwe, wuskamu",,2pl_a,2nd Person Plural,42274,,,,kamu1260,routamaa-1994
"uwe, wuskamu",,2pl_s,2nd Person Plural,42273,,,,kamu1260,routamaa-1994
"uwe, wuskamu",,2pl_o,2nd Person Plural,42272,,,,kamu1260,routamaa-1994
"uwe, wuskamu",,2pl_p,2nd Person Plural,42271,,,,kamu1260,routamaa-1994
ye,,3sg_m_a,3rd Person Singular Masculine,42270,,,,kamu1260,routamaa-1994
ye,,3sg_m_s,3rd Person Singular Masculine,42269,,,,kamu1260,routamaa-1994
ye,,3sg_m_o,3rd Person Singular Masculine,42268,,,,kamu1260,routamaa-1994
ye,,3sg_m_p,3rd Person Singular Masculine,42267,,,,kamu1260,routamaa-1994
ye,,3sg_n_a,3rd Person Singular Neuter,42266,,,,kamu1260,routamaa-1994
ye,,3sg_n_s,3rd Person Singular Neuter,42265,,,,kamu1260,routamaa-1994
ye,,3sg_n_o,3rd Person Singular Neuter,42264,,,,kamu1260,routamaa-1994
ye,,3sg_n_p,3rd Person Singular Neuter,42263,,,,kamu1260,routamaa-1994
"yie, yi",,3d-a,3rd Person Dual,42262,,,,kamu1260,routamaa-1994
"yie, yi",,3d-s,3rd Person Dual,42261,,,,kamu1260,routamaa-1994
"yie, yi",,3d-o,3rd Person Dual,42260,,,,kamu1260,routamaa-1994
"yie, yi",,3d-p,3rd Person Dual,42259,,,,kamu1260,routamaa-1994
"yie, yi",,3p-a,3rd Person Plural,42258,,,,kamu1260,routamaa-1994
"yie, yi",,3p-s,3rd Person Plural,42257,,,,kamu1260,routamaa-1994
"yie, yi",,3p-o,3rd Person Plural,42256,,,,kamu1260,routamaa-1994
"yie, yi",,3p-p,3rd Person Plural,42255,,,,kamu1260,routamaa-1994
