word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
no;;1sg_a;1st (excl) Person Singular;46542;;;;kima1246;boelaars-1950
no;;1sg_s;1st (excl) Person Singular;46541;;;;kima1246;boelaars-1950
niɛ;;1sg_o;1st (excl) Person Singular;46540;;;;kima1246;boelaars-1950
na;;1sg_p;1st (excl) Person Singular;46539;;;;kima1246;boelaars-1950
ni;;1du_a;1st (excl) Person Dual;46538;;;;kima1246;boelaars-1950
ni;;1du_s;1st (excl) Person Dual;46537;;;;kima1246;boelaars-1950
nirɛ;;1du_o;1st (excl) Person Dual;46536;;;;kima1246;boelaars-1950
ni;;1du_p;1st (excl) Person Dual;46535;;;;kima1246;boelaars-1950
ni;;1pl_a;1st (excl) Person Plural;46534;;;;kima1246;boelaars-1950
ni;;1pl_s;1st (excl) Person Plural;46533;;;;kima1246;boelaars-1950
nirɛ;;1pl_o;1st (excl) Person Plural;46532;;;;kima1246;boelaars-1950
ni;;1pl_p;1st (excl) Person Plural;46531;;;;kima1246;boelaars-1950
ni;;12du_a;1st (incl) Person Dual;46530;;;;kima1246;boelaars-1950
ni;;12du_s;1st (incl) Person Dual;46529;;;;kima1246;boelaars-1950
nirɛ;;12du_o;1st (incl) Person Dual;46528;;;;kima1246;boelaars-1950
ni;;12du_p;1st (incl) Person Dual;46527;;;;kima1246;boelaars-1950
ni;;12pl_a;1st (incl) Person Plural;46526;;;;kima1246;boelaars-1950
ni;;12pl_s;1st (incl) Person Plural;46525;;;;kima1246;boelaars-1950
nirɛ;;12pl_o;1st (incl) Person Plural;46524;;;;kima1246;boelaars-1950
ni;;12pl_p;1st (incl) Person Plural;46523;;;;kima1246;boelaars-1950
uŋɡu;;2sg_a;2nd Person Singular;46522;;;;kima1246;boelaars-1950
uŋɡu;;2sg_s;2nd Person Singular;46521;;;;kima1246;boelaars-1950
aŋɡa;;2sg_o;2nd Person Singular;46520;;;;kima1246;boelaars-1950
ɡa;;2sg_p;2nd Person Singular;46519;;;;kima1246;boelaars-1950
iŋɡi;;2du_a;2nd Person Dual;46518;;;;kima1246;boelaars-1950
iŋɡi;;2du_s;2nd Person Dual;46517;;;;kima1246;boelaars-1950
aŋɡɛ;;2du_o;2nd Person Dual;46516;;;;kima1246;boelaars-1950
ɡi;;2du_p;2nd Person Dual;46515;;;;kima1246;boelaars-1950
iŋɡi;;2pl_a;2nd Person Plural;46514;;;;kima1246;boelaars-1950
iŋɡi;;2pl_s;2nd Person Plural;46513;;;;kima1246;boelaars-1950
aŋɡɛ;;2pl_o;2nd Person Plural;46512;;;;kima1246;boelaars-1950
ɡi;;2pl_p;2nd Person Plural;46511;;;;kima1246;boelaars-1950
nœ;;3sg_m_a;3rd Person Singular Masculine;46510;;;;kima1246;boelaars-1950
nœ;;3sg_m_s;3rd Person Singular Masculine;46509;;;;kima1246;boelaars-1950
anda;;3sg_m_o;3rd Person Singular Masculine;46508;;;;kima1246;boelaars-1950
da;;3sg_m_p;3rd Person Singular Masculine;46507;;;;kima1246;boelaars-1950
nœ;;3sg_n_a;3rd Person Singular Neuter;46506;;;;kima1246;boelaars-1950
nœ;;3sg_n_s;3rd Person Singular Neuter;46505;;;;kima1246;boelaars-1950
anda;;3sg_n_o;3rd Person Singular Neuter;46504;;;;kima1246;boelaars-1950
da;;3sg_n_p;3rd Person Singular Neuter;46503;;;;kima1246;boelaars-1950
ii;;3d-a;3rd Person Dual;46502;;;;kima1246;boelaars-1950
ii;;3d-s;3rd Person Dual;46501;;;;kima1246;boelaars-1950
ande;;3d-o;3rd Person Dual;46500;;;;kima1246;boelaars-1950
dii;;3d-p;3rd Person Dual;46499;;;;kima1246;boelaars-1950
ii;;3p-a;3rd Person Plural;46498;;;;kima1246;boelaars-1950
ii;;3p-s;3rd Person Plural;46497;;;;kima1246;boelaars-1950
ande;;3p-o;3rd Person Plural;46496;;;;kima1246;boelaars-1950
dii;;3p-p;3rd Person Plural;46495;;;;kima1246;boelaars-1950
