word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mo;;1sg_a;1st (excl) Person Singular;42398;;;;sout2949;ray-1907
mai;;1sg_s;1st (excl) Person Singular;42397;;;;sout2949;ray-1907
moroai;;1sg_o;1st (excl) Person Singular;42396;;;;sout2949;ray-1907
moro;;1sg_p;1st (excl) Person Singular;42395;;;;sout2949;ray-1907
nimoto;;1du_a;1st (excl) Person Dual;42394;;;;sout2949;ray-1907
nimoto;;1du_s;1st (excl) Person Dual;42393;;;;sout2949;ray-1907
nimoto;;1du_o;1st (excl) Person Dual;42392;;;;sout2949;ray-1907
nimoto;;1du_p;1st (excl) Person Dual;42391;;;;sout2949;ray-1907
nimo;;1pl_a;1st (excl) Person Plural;42390;;;;sout2949;ray-1907
nimo;;1pl_s;1st (excl) Person Plural;42389;;;;sout2949;ray-1907
nimo;;1pl_o;1st (excl) Person Plural;42388;;;;sout2949;ray-1907
nimo;;1pl_p;1st (excl) Person Plural;42387;;;;sout2949;ray-1907
nimoto;;12du_a;1st (incl) Person Dual;42386;;;;sout2949;ray-1907
nimoto;;12du_s;1st (incl) Person Dual;42385;;;;sout2949;ray-1907
nimoto;;12du_o;1st (incl) Person Dual;42384;;;;sout2949;ray-1907
nimoto;;12du_p;1st (incl) Person Dual;42383;;;;sout2949;ray-1907
nimo;;12pl_a;1st (incl) Person Plural;42382;;;;sout2949;ray-1907
nimo;;12pl_s;1st (incl) Person Plural;42381;;;;sout2949;ray-1907
nimo;;12pl_o;1st (incl) Person Plural;42380;;;;sout2949;ray-1907
nimo;;12pl_p;1st (incl) Person Plural;42379;;;;sout2949;ray-1907
ro;;2sg_a;2nd Person Singular;42378;;;;sout2949;ray-1907
rai;;2sg_s;2nd Person Singular;42377;;;;sout2949;ray-1907
roroai;;2sg_o;2nd Person Singular;42376;;;;sout2949;ray-1907
oro;;2sg_p;2nd Person Singular;42375;;;;sout2949;ray-1907
nigoto;;2du_a;2nd Person Dual;42374;;;;sout2949;ray-1907
nigoto;;2du_s;2nd Person Dual;42373;;;;sout2949;ray-1907
nigoto;;2du_o;2nd Person Dual;42372;;;;sout2949;ray-1907
nigoto;;2du_p;2nd Person Dual;42371;;;;sout2949;ray-1907
nigo;;2pl_a;2nd Person Plural;42370;;;;sout2949;ray-1907
nigo;;2pl_s;2nd Person Plural;42369;;;;sout2949;ray-1907
nigo;;2pl_o;2nd Person Plural;42368;;;;sout2949;ray-1907
nigo;;2pl_p;2nd Person Plural;42367;;;;sout2949;ray-1907
nou;;3sg_m_a;3rd Person Singular Masculine;42366;;;;sout2949;ray-1907
noai;;3sg_m_s;3rd Person Singular Masculine;42365;;;;sout2949;ray-1907
noroai;;3sg_m_o;3rd Person Singular Masculine;42364;;;;sout2949;ray-1907
noro;;3sg_m_p;3rd Person Singular Masculine;42363;;;;sout2949;ray-1907
nou;;3sg_n_a;3rd Person Singular Neuter;42362;;;;sout2949;ray-1907
noai;;3sg_n_s;3rd Person Singular Neuter;42361;;;;sout2949;ray-1907
noroai;;3sg_n_o;3rd Person Singular Neuter;42360;;;;sout2949;ray-1907
noro;;3sg_n_p;3rd Person Singular Neuter;42359;;;;sout2949;ray-1907
neito;;3d-a;3rd Person Dual;42358;;;;sout2949;ray-1907
neito;;3d-s;3rd Person Dual;42357;;;;sout2949;ray-1907
neito;;3d-o;3rd Person Dual;42356;;;;sout2949;ray-1907
neito;;3d-p;3rd Person Dual;42355;;;;sout2949;ray-1907
nei;;3p-a;3rd Person Plural;42354;;;;sout2949;ray-1907
nei;;3p-s;3rd Person Plural;42353;;;;sout2949;ray-1907
nei;;3p-o;3rd Person Plural;42352;;;;sout2949;ray-1907
nei;;3p-p;3rd Person Plural;42351;;;;sout2949;ray-1907
