word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ŋaya;;1sg_a;1st (excl) Person Singular;26989;;;;kwin1241;mcgregor-1993
ŋaya;;1sg_s;1st (excl) Person Singular;26990;;;;kwin1241;mcgregor-1993
ŋaya;;1sg_o;1st (excl) Person Singular;26991;;;;kwin1241;mcgregor-1993
ŋayanaŋga;;1sg_p;1st (excl) Person Singular;26992;;;;kwin1241;mcgregor-1993
ñara;;1du_a;1st (excl) Person Dual;26993;;;;kwin1241;mcgregor-1993
ñara;;1du_s;1st (excl) Person Dual;26994;;;;kwin1241;mcgregor-1993
ñara;;1du_o;1st (excl) Person Dual;26995;;;;kwin1241;mcgregor-1993
ñaranaŋga;;1du_p;1st (excl) Person Dual;26996;;;;kwin1241;mcgregor-1993
ñara;;1pl_a;1st (excl) Person Plural;26997;;;;kwin1241;mcgregor-1993
ñara;;1pl_s;1st (excl) Person Plural;26998;;;;kwin1241;mcgregor-1993
ñara;;1pl_o;1st (excl) Person Plural;26999;;;;kwin1241;mcgregor-1993
ñaranaŋga;;1pl_p;1st (excl) Person Plural;27000;;;;kwin1241;mcgregor-1993
naŋara;;12du_a;1st (incl) Person Dual;27001;;;;kwin1241;mcgregor-1993
naŋara;;12du_s;1st (incl) Person Dual;27002;;;;kwin1241;mcgregor-1993
naŋara;;12du_o;1st (incl) Person Dual;27003;;;;kwin1241;mcgregor-1993
naŋaranaŋga;;12du_p;1st (incl) Person Dual;27004;;;;kwin1241;mcgregor-1993
naŋara;;12pl_a;1st (incl) Person Plural;27005;;;;kwin1241;mcgregor-1993
naŋara;;12pl_s;1st (incl) Person Plural;27006;;;;kwin1241;mcgregor-1993
naŋara;;12pl_o;1st (incl) Person Plural;27007;;;;kwin1241;mcgregor-1993
naŋaranaŋga;;12pl_p;1st (incl) Person Plural;27008;;;;kwin1241;mcgregor-1993
nā;;2sg_a;2nd Person Singular;27009;;;;kwin1241;mcgregor-1993
nā;;2sg_s;2nd Person Singular;27010;;;;kwin1241;mcgregor-1993
nā;;2sg_o;2nd Person Singular;27011;;;;kwin1241;mcgregor-1993
nānaŋga;;2sg_p;2nd Person Singular;27012;;;;kwin1241;mcgregor-1993
nira;;2du_a;2nd Person Dual;27013;;;;kwin1241;mcgregor-1993
nira;;2du_s;2nd Person Dual;27014;;;;kwin1241;mcgregor-1993
nira;;2du_o;2nd Person Dual;27015;;;;kwin1241;mcgregor-1993
niranaŋga;;2du_p;2nd Person Dual;27016;;;;kwin1241;mcgregor-1993
nira;;2pl_a;2nd Person Plural;27017;;;;kwin1241;mcgregor-1993
nira;;2pl_s;2nd Person Plural;27018;;;;kwin1241;mcgregor-1993
nira;;2pl_o;2nd Person Plural;27019;;;;kwin1241;mcgregor-1993
niranaŋga;;2pl_p;2nd Person Plural;27020;;;;kwin1241;mcgregor-1993
bɨni;;3sg_m_a;3rd Person Singular Masculine;27021;;;;kwin1241;mcgregor-1993
bɨni;;3sg_m_s;3rd Person Singular Masculine;27022;;;;kwin1241;mcgregor-1993
bɨni;;3sg_m_o;3rd Person Singular Masculine;27023;;;;kwin1241;mcgregor-1993
bɨninaŋga;;3sg_m_p;3rd Person Singular Masculine;27024;;;;kwin1241;mcgregor-1993
āni;;3sg_f_a;3rd Person Singular Feminine;27025;;;;kwin1241;mcgregor-1993
āni;;3sg_f_s;3rd Person Singular Feminine;27026;;;;kwin1241;mcgregor-1993
āni;;3sg_f_o;3rd Person Singular Feminine;27027;;;;kwin1241;mcgregor-1993
āninaŋga;;3sg_f_p;3rd Person Singular Feminine;27028;;;;kwin1241;mcgregor-1993
wini;;3sg_n_a;3rd Person Singular Neuter;27029;;;;kwin1241;mcgregor-1993
wini;;3sg_n_s;3rd Person Singular Neuter;27030;;;;kwin1241;mcgregor-1993
wini;;3sg_n_o;3rd Person Singular Neuter;27031;;;;kwin1241;mcgregor-1993
wininaŋga;;3sg_n_p;3rd Person Singular Neuter;27032;;;;kwin1241;mcgregor-1993
bɨrreni;;3du_m_a;3rd Person Dual Masculine;27033;;;;kwin1241;mcgregor-1993
bɨrreni;;3du_m_s;3rd Person Dual Masculine;27034;;;;kwin1241;mcgregor-1993
bɨrreni;;3du_m_o;3rd Person Dual Masculine;27035;;;;kwin1241;mcgregor-1993
bɨrreninaŋga;;3du_m_p;3rd Person Dual Masculine;27036;;;;kwin1241;mcgregor-1993
bɨrreni;;3du_f_a;3rd Person Dual Feminine;27037;;;;kwin1241;mcgregor-1993
bɨrreni;;3du_f_s;3rd Person Dual Feminine;27038;;;;kwin1241;mcgregor-1993
bɨrreni;;3du_f_o;3rd Person Dual Feminine;27039;;;;kwin1241;mcgregor-1993
bɨrreninaŋga;;3du_f_p;3rd Person Dual Feminine;27040;;;;kwin1241;mcgregor-1993
bɨrreni;;3du_n_a;3rd Person Dual Neuter;27041;;;;kwin1241;mcgregor-1993
bɨrreni;;3du_n_s;3rd Person Dual Neuter;27042;;;;kwin1241;mcgregor-1993
bɨrreni;;3du_n_o;3rd Person Dual Neuter;27043;;;;kwin1241;mcgregor-1993
bɨrreninaŋga;;3du_n_p;3rd Person Dual Neuter;27044;;;;kwin1241;mcgregor-1993
bɨrreni;;3pl_m_a;3rd Person Plural Masculine;27045;;;;kwin1241;mcgregor-1993
bɨrreni;;3pl_m_s;3rd Person Plural Masculine;27046;;;;kwin1241;mcgregor-1993
