word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ŋaykginijani,,1sg_a,1st (excl) Person Singular,34913,,,,nucl1327,harvey-2001
ŋaykginijani,,1sg_s,1st (excl) Person Singular,34914,,,,nucl1327,harvey-2001
ŋaykginijani,,1sg_o,1st (excl) Person Singular,34915,,,,nucl1327,harvey-2001
=daykgi,,1sg_p,1st (excl) Person Singular,34916,,,,nucl1327,harvey-2001
ŋuyinijani,,1du_a,1st (excl) Person Dual,34917,,,,nucl1327,harvey-2001
ŋuyinijani,,1du_s,1st (excl) Person Dual,34918,,,,nucl1327,harvey-2001
ŋuyinijani,,1du_o,1st (excl) Person Dual,34919,,,,nucl1327,harvey-2001
duyi,,1du_p,1st (excl) Person Dual,34920,,,,nucl1327,harvey-2001
ŋuyinijani,,1pl_a,1st (excl) Person Plural,34921,,,,nucl1327,harvey-2001
ŋuyinijani,,1pl_s,1st (excl) Person Plural,34922,,,,nucl1327,harvey-2001
ŋuyinijani,,1pl_o,1st (excl) Person Plural,34923,,,,nucl1327,harvey-2001
duyi,,1pl_p,1st (excl) Person Plural,34924,,,,nucl1327,harvey-2001
ŋaminijani,,12du_a,1st (incl) Person Dual,34925,,,,nucl1327,harvey-2001
ŋaminijani,,12du_s,1st (incl) Person Dual,34926,,,,nucl1327,harvey-2001
ŋaminijani,,12du_o,1st (incl) Person Dual,34927,,,,nucl1327,harvey-2001
dami,,12du_p,1st (incl) Person Dual,34928,,,,nucl1327,harvey-2001
guyinijani,,12pl_a,1st (incl) Person Plural,34929,,,,nucl1327,harvey-2001
guyinijani,,12pl_s,1st (incl) Person Plural,34930,,,,nucl1327,harvey-2001
guyinijani,,12pl_o,1st (incl) Person Plural,34931,,,,nucl1327,harvey-2001
duŋuyi,,12pl_p,1st (incl) Person Plural,34932,,,,nucl1327,harvey-2001
ŋiñinijani,,2sg_a,2nd Person Singular,34933,,,,nucl1327,harvey-2001
ŋiñinijani,,2sg_s,2nd Person Singular,34934,,,,nucl1327,harvey-2001
ŋiñinijani,,2sg_o,2nd Person Singular,34935,,,,nucl1327,harvey-2001
diŋiɲi,,2sg_p,2nd Person Singular,34936,,,,nucl1327,harvey-2001
wuŋuyinijani,,2du_a,2nd Person Dual,34937,,,,nucl1327,harvey-2001
wuŋuyinijani,,2du_s,2nd Person Dual,34938,,,,nucl1327,harvey-2001
wuŋuyinijani,,2du_o,2nd Person Dual,34939,,,,nucl1327,harvey-2001
duŋuyi,,2du_p,2nd Person Dual,34940,,,,nucl1327,harvey-2001
wuŋuyinijani,,2pl_a,2nd Person Plural,34941,,,,nucl1327,harvey-2001
wuŋuyinijani,,2pl_s,2nd Person Plural,34942,,,,nucl1327,harvey-2001
wuŋuyinijani,,2pl_o,2nd Person Plural,34943,,,,nucl1327,harvey-2001
duŋuyi,,2pl_p,2nd Person Plural,34944,,,,nucl1327,harvey-2001
