word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ŋöllo,,1sg_a,1st (excl) Person Singular,36158,,,,makl1246,boelaars-1950
ŋöllo,,1sg_s,1st (excl) Person Singular,36157,,,,makl1246,boelaars-1950
ŋölel,,1sg_o,1st (excl) Person Singular,36156,,,,makl1246,boelaars-1950
ŋölaŋ,,1sg_p,1st (excl) Person Singular,36155,,,,makl1246,boelaars-1950
ŋag,,1du_a,1st (excl) Person Dual,36154,,,,makl1246,boelaars-1950
ŋag,,1du_s,1st (excl) Person Dual,36153,,,,makl1246,boelaars-1950
ŋagol,,1du_o,1st (excl) Person Dual,36152,,,,makl1246,boelaars-1950
ŋagaŋ,,1du_p,1st (excl) Person Dual,36151,,,,makl1246,boelaars-1950
ŋag,,1pl_a,1st (excl) Person Plural,36150,,,,makl1246,boelaars-1950
ŋag,,1pl_s,1st (excl) Person Plural,36149,,,,makl1246,boelaars-1950
ŋagol,,1pl_o,1st (excl) Person Plural,36148,,,,makl1246,boelaars-1950
ŋagaŋ,,1pl_p,1st (excl) Person Plural,36147,,,,makl1246,boelaars-1950
ŋag,,12du_a,1st (incl) Person Dual,36146,,,,makl1246,boelaars-1950
ŋag,,12du_s,1st (incl) Person Dual,36145,,,,makl1246,boelaars-1950
ŋagol,,12du_o,1st (incl) Person Dual,36144,,,,makl1246,boelaars-1950
ŋagaŋ,,12du_p,1st (incl) Person Dual,36143,,,,makl1246,boelaars-1950
ŋag,,12pl_a,1st (incl) Person Plural,36142,,,,makl1246,boelaars-1950
ŋag,,12pl_s,1st (incl) Person Plural,36141,,,,makl1246,boelaars-1950
ŋagol,,12pl_o,1st (incl) Person Plural,36140,,,,makl1246,boelaars-1950
ŋagaŋ,,12pl_p,1st (incl) Person Plural,36139,,,,makl1246,boelaars-1950
obé,,2sg_a,2nd Person Singular,36138,,,,makl1246,boelaars-1950
obé,,2sg_s,2nd Person Singular,36137,,,,makl1246,boelaars-1950
awol,,2sg_o,2nd Person Singular,36136,,,,makl1246,boelaars-1950
awaŋ,,2sg_p,2nd Person Singular,36135,,,,makl1246,boelaars-1950
omlé,,2du_a,2nd Person Dual,36134,,,,makl1246,boelaars-1950
omlé,,2du_s,2nd Person Dual,36133,,,,makl1246,boelaars-1950
alél,,2du_o,2nd Person Dual,36132,,,,makl1246,boelaars-1950
alaŋ,,2du_p,2nd Person Dual,36131,,,,makl1246,boelaars-1950
omlé,,2pl_a,2nd Person Plural,36130,,,,makl1246,boelaars-1950
omlé,,2pl_s,2nd Person Plural,36129,,,,makl1246,boelaars-1950
alél,,2pl_o,2nd Person Plural,36128,,,,makl1246,boelaars-1950
alaŋ,,2pl_p,2nd Person Plural,36127,,,,makl1246,boelaars-1950
ib,,3sg_m_a,3rd Person Singular Masculine,36126,,,,makl1246,boelaars-1950
ib,,3sg_m_s,3rd Person Singular Masculine,36125,,,,makl1246,boelaars-1950
ibél,,3sg_m_o,3rd Person Singular Masculine,36124,,,,makl1246,boelaars-1950
ibaŋ,,3sg_m_p,3rd Person Singular Masculine,36123,,,,makl1246,boelaars-1950
ib,,3sg_n_a,3rd Person Singular Neuter,36122,,,,makl1246,boelaars-1950
ib,,3sg_n_s,3rd Person Singular Neuter,36121,,,,makl1246,boelaars-1950
ibél,,3sg_n_o,3rd Person Singular Neuter,36120,,,,makl1246,boelaars-1950
ibaŋ,,3sg_n_p,3rd Person Singular Neuter,36119,,,,makl1246,boelaars-1950
imél,,3du_m_a,3rd Person Dual Masculine,36118,,,,makl1246,boelaars-1950
imél,,3du_m_s,3rd Person Dual Masculine,36117,,,,makl1246,boelaars-1950
imlél,,3du_m_o,3rd Person Dual Masculine,36116,,,,makl1246,boelaars-1950
imlaŋ,,3du_m_p,3rd Person Dual Masculine,36115,,,,makl1246,boelaars-1950
imél,,3du_n_a,3rd Person Dual Neuter,36114,,,,makl1246,boelaars-1950
imél,,3du_n_s,3rd Person Dual Neuter,36113,,,,makl1246,boelaars-1950
imlél,,3du_n_o,3rd Person Dual Neuter,36112,,,,makl1246,boelaars-1950
imlaŋ,,3du_n_p,3rd Person Dual Neuter,36111,,,,makl1246,boelaars-1950
imél,,3pl_m_a,3rd Person Plural Masculine,36110,,,,makl1246,boelaars-1950
imél,,3pl_m_s,3rd Person Plural Masculine,36109,,,,makl1246,boelaars-1950
imlél,,3pl_m_o,3rd Person Plural Masculine,36108,,,,makl1246,boelaars-1950
imlaŋ,,3pl_m_p,3rd Person Plural Masculine,36107,,,,makl1246,boelaars-1950
imél,,3pl_n_a,3rd Person Plural Neuter,36106,,,,makl1246,boelaars-1950
imél,,3pl_n_s,3rd Person Plural Neuter,36105,,,,makl1246,boelaars-1950
imlél,,3pl_n_o,3rd Person Plural Neuter,36104,,,,makl1246,boelaars-1950
imlaŋ,,3pl_n_p,3rd Person Plural Neuter,36103,,,,makl1246,boelaars-1950
imél,,3d-a,3rd Person Dual,36215,,,,makl1246,boelaars-1950
imél,,3d-s,3rd Person Dual,36434,,,,makl1246,boelaars-1950
imlél,,3d-o,3rd Person Dual,36661,,,,makl1246,boelaars-1950
imlaŋ,,3d-p,3rd Person Dual,36884,,,,makl1246,boelaars-1950
imél,,3p-a,3rd Person Plural,37096,,,,makl1246,boelaars-1950
imél,,3p-s,3rd Person Plural,37316,,,,makl1246,boelaars-1950
imlél,,3p-o,3rd Person Plural,37541,,,,makl1246,boelaars-1950
imlaŋ,,3p-p,3rd Person Plural,37762,,,,makl1246,boelaars-1950
