word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ŋa,,1sg_a,1st (excl) Person Singular,24500,,,,mull1237,birk-1976
ŋa,,1sg_s,1st (excl) Person Singular,24501,,,,mull1237,birk-1976
-ařiñ,,1sg_o,1st (excl) Person Singular,24502,,,,mull1237,birk-1976
ŋa,,1sg_p,1st (excl) Person Singular,24503,,,,mull1237,birk-1976
yawot,,1du_a,1st (excl) Person Dual,24504,,,,mull1237,birk-1976
yawot,,1du_s,1st (excl) Person Dual,24505,,,,mull1237,birk-1976
-yöřö,,1du_o,1st (excl) Person Dual,24506,,,,mull1237,birk-1976
yawot,,1du_p,1st (excl) Person Dual,24507,,,,mull1237,birk-1976
yawot,,1pl_a,1st (excl) Person Plural,24508,,,,mull1237,birk-1976
yawot,,1pl_s,1st (excl) Person Plural,24509,,,,mull1237,birk-1976
-yöřö,,1pl_o,1st (excl) Person Plural,24510,,,,mull1237,birk-1976
yawot,,1pl_p,1st (excl) Person Plural,24511,,,,mull1237,birk-1976
yaŋki,,12du_a,1st (incl) Person Dual,24512,,,,mull1237,birk-1976
yaŋki,,12du_s,1st (incl) Person Dual,24513,,,,mull1237,birk-1976
-nuŋku,,12du_o,1st (incl) Person Dual,24514,,,,mull1237,birk-1976
yaŋki,,12du_p,1st (incl) Person Dual,24515,,,,mull1237,birk-1976
yɛřkit,,12pl_a,1st (incl) Person Plural,24516,,,,mull1237,birk-1976
yɛřkit,,12pl_s,1st (incl) Person Plural,24517,,,,mull1237,birk-1976
-ařpuřu,,12pl_o,1st (incl) Person Plural,24518,,,,mull1237,birk-1976
yɛřkit,,12pl_p,1st (incl) Person Plural,24519,,,,mull1237,birk-1976
waŋari,,2sg_a,2nd Person Singular,24520,,,,mull1237,birk-1976
waŋari,,2sg_s,2nd Person Singular,24521,,,,mull1237,birk-1976
-nunu,,2sg_o,2nd Person Singular,24522,,,,mull1237,birk-1976
waŋari,,2sg_p,2nd Person Singular,24523,,,,mull1237,birk-1976
nukut,,2du_a,2nd Person Dual,24524,,,,mull1237,birk-1976
nukut,,2du_s,2nd Person Dual,24525,,,,mull1237,birk-1976
-nuŋkuřu,,2du_o,2nd Person Dual,24526,,,,mull1237,birk-1976
nukut,,2du_p,2nd Person Dual,24527,,,,mull1237,birk-1976
nukut,,2pl_a,2nd Person Plural,24528,,,,mull1237,birk-1976
nukut,,2pl_s,2nd Person Plural,24529,,,,mull1237,birk-1976
-nuŋkuřu,,2pl_o,2nd Person Plural,24530,,,,mull1237,birk-1976
nukut,,2pl_p,2nd Person Plural,24531,,,,mull1237,birk-1976
yöntön,,3sg_m_a,3rd Person Singular Masculine,24532,,,,mull1237,birk-1976
yöntön,,3sg_m_s,3rd Person Singular Masculine,24533,,,,mull1237,birk-1976
-nö,,3sg_m_o,3rd Person Singular Masculine,24534,,,,mull1237,birk-1976
yöntön,,3sg_m_p,3rd Person Singular Masculine,24535,,,,mull1237,birk-1976
nöntön,,3sg_f_a,3rd Person Singular Feminine,24536,,,,mull1237,birk-1976
nöntön,,3sg_f_s,3rd Person Singular Feminine,24537,,,,mull1237,birk-1976
ŋayi,,3sg_f_o,3rd Person Singular Feminine,24538,,,,mull1237,birk-1976
nöntön,,3sg_f_p,3rd Person Singular Feminine,24539,,,,mull1237,birk-1976
nöntön,,3sg_n_a,3rd Person Singular Neuter,24540,,,,mull1237,birk-1976
nöntön,,3sg_n_s,3rd Person Singular Neuter,24541,,,,mull1237,birk-1976
-ŋayi,,3sg_n_o,3rd Person Singular Neuter,24542,,,,mull1237,birk-1976
yöntön,,3sg_n_p,3rd Person Singular Neuter,24543,,,,mull1237,birk-1976
wöřöntön,,3du_m_a,3rd Person Dual Masculine,24544,,,,mull1237,birk-1976
wöřöntön,,3du_m_s,3rd Person Dual Masculine,24545,,,,mull1237,birk-1976
wöřö,,3du_m_o,3rd Person Dual Masculine,24546,,,,mull1237,birk-1976
wöřöntön,,3du_m_p,3rd Person Dual Masculine,24547,,,,mull1237,birk-1976
wöřöntön,,3du_f_a,3rd Person Dual Feminine,24548,,,,mull1237,birk-1976
wöřöntön,,3du_f_s,3rd Person Dual Feminine,24549,,,,mull1237,birk-1976
wöřö,,3du_f_o,3rd Person Dual Feminine,24550,,,,mull1237,birk-1976
wöřöntön,,3du_f_p,3rd Person Dual Feminine,24551,,,,mull1237,birk-1976
wöřöntön,,3du_n_a,3rd Person Dual Neuter,24552,,,,mull1237,birk-1976
wöřöntön,,3du_n_s,3rd Person Dual Neuter,24553,,,,mull1237,birk-1976
wöřö,,3du_n_o,3rd Person Dual Neuter,24554,,,,mull1237,birk-1976
wöřöntön,,3du_n_p,3rd Person Dual Neuter,24555,,,,mull1237,birk-1976
wöřöntön,,3pl_m_a,3rd Person Plural Masculine,24556,,,,mull1237,birk-1976
wöřöntön,,3pl_m_s,3rd Person Plural Masculine,24557,,,,mull1237,birk-1976
wöřö,,3pl_m_o,3rd Person Plural Masculine,24558,,,,mull1237,birk-1976
wöřöntön,,3pl_m_p,3rd Person Plural Masculine,24559,,,,mull1237,birk-1976
wöřöntön,,3pl_f_a,3rd Person Plural Feminine,24560,,,,mull1237,birk-1976
wöřöntön,,3pl_f_s,3rd Person Plural Feminine,24561,,,,mull1237,birk-1976
wöřö,,3pl_f_o,3rd Person Plural Feminine,24562,,,,mull1237,birk-1976
wöřöntön,,3pl_f_p,3rd Person Plural Feminine,24563,,,,mull1237,birk-1976
wöřöntön,,3pl_n_a,3rd Person Plural Neuter,24564,,,,mull1237,birk-1976
wöřöntön,,3pl_n_s,3rd Person Plural Neuter,24565,,,,mull1237,birk-1976
wöřö,,3pl_n_o,3rd Person Plural Neuter,24566,,,,mull1237,birk-1976
wöřöntön,,3pl_n_p,3rd Person Plural Neuter,24567,,,,mull1237,birk-1976
wöřöntön,,3d-a,3rd Person Dual,36350,,,,mull1237,birk-1976
wöřöntön,,3d-s,3rd Person Dual,36577,,,,mull1237,birk-1976
wöřö,,3d-o,3rd Person Dual,36803,,,,mull1237,birk-1976
wöřöntön,,3d-p,3rd Person Dual,37013,,,,mull1237,birk-1976
wöřöntön,,3p-a,3rd Person Plural,37233,,,,mull1237,birk-1976
wöřöntön,,3p-s,3rd Person Plural,37459,,,,mull1237,birk-1976
wöřö,,3p-o,3rd Person Plural,37682,,,,mull1237,birk-1976
wöřöntön,,3p-p,3rd Person Plural,37891,,,,mull1237,birk-1976
