word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
tonti,,1sg_a,1st (excl) Person Singular,51806,,,,male1297,constenla-umana-1998
ton,,1sg_s,1st (excl) Person Singular,51805,,,,male1297,constenla-umana-1998
ton,,1sg_o,1st (excl) Person Singular,51804,,,,male1297,constenla-umana-1998
na=,,1sg_p,1st (excl) Person Singular,51803,,,,male1297,constenla-umana-1998
toíti,,1pl_a,1st (excl) Person Plural,51802,,,,male1297,constenla-umana-1998
toí,,1pl_s,1st (excl) Person Plural,51801,,,,male1297,constenla-umana-1998
toí,,1pl_o,1st (excl) Person Plural,51800,,,,male1297,constenla-umana-1998
toi na=,,1pl_p,1st (excl) Person Plural,51799,,,,male1297,constenla-umana-1998
totókiti,,12pl_a,1st (incl) Person Plural,51798,,,,male1297,constenla-umana-1998
totóki,,12pl_s,1st (incl) Person Plural,51797,,,,male1297,constenla-umana-1998
totóki,,12pl_o,1st (incl) Person Plural,51796,,,,male1297,constenla-umana-1998
ma=,,12pl_p,1st (incl) Person Plural,51795,,,,male1297,constenla-umana-1998
póti,,2sg_a,2nd Person Singular,51794,,,,male1297,constenla-umana-1998
po,,2sg_s,2nd Person Singular,51793,,,,male1297,constenla-umana-1998
po,,2sg_o,2nd Person Singular,51792,,,,male1297,constenla-umana-1998
mi=,,2sg_p,2nd Person Singular,51791,,,,male1297,constenla-umana-1998
poti maráma,,2pl_a,2nd Person Plural,51790,,,,male1297,constenla-umana-1998
po maráma,,2pl_s,2nd Person Plural,51789,,,,male1297,constenla-umana-1998
po maráma,,2pl_o,2nd Person Plural,51788,,,,male1297,constenla-umana-1998
po maráma mi=,,2pl_p,2nd Person Plural,51787,,,,male1297,constenla-umana-1998
niti,,3sg_m_a,3rd Person Singular Masculine,51786,,,,male1297,constenla-umana-1998
ni,,3sg_m_s,3rd Person Singular Masculine,51785,,,,male1297,constenla-umana-1998
ni,,3sg_m_o,3rd Person Singular Masculine,51784,,,,male1297,constenla-umana-1998
i=,,3sg_m_p,3rd Person Singular Masculine,51783,,,,male1297,constenla-umana-1998
niti maráma,,3p-a,3rd Person Plural,51782,,,,male1297,constenla-umana-1998
niti,,3p-s,3rd Person Plural,51781,,,,male1297,constenla-umana-1998
niti,,3p-o,3rd Person Plural,51780,,,,male1297,constenla-umana-1998
ni maráma i=,,3p-p,3rd Person Plural,51779,,,,male1297,constenla-umana-1998
