word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ŋaja,,1sg_a,1st (excl) Person Singular,50722,,,,mang1381,merlan-1989
ŋaja,,1sg_s,1st (excl) Person Singular,50721,,,,mang1381,merlan-1989
ŋan,,1sg_o,1st (excl) Person Singular,50720,,,,mang1381,merlan-1989
-ŋanɟu,,1sg_p,1st (excl) Person Singular,50719,,,,mang1381,merlan-1989
ŋiɾ,,1du_a,1st (excl) Person Dual,50718,,,,mang1381,merlan-1989
ŋiɾ,,1du_s,1st (excl) Person Dual,50717,,,,mang1381,merlan-1989
ŋiɾaŋan,,1du_o,1st (excl) Person Dual,50716,,,,mang1381,merlan-1989
-ŋiɾa,,1du_p,1st (excl) Person Dual,50715,,,,mang1381,merlan-1989
ŋiɭa,,1pl_a,1st (excl) Person Plural,50714,,,,mang1381,merlan-1989
ŋiɭa,,1pl_s,1st (excl) Person Plural,50713,,,,mang1381,merlan-1989
ŋijanŋan,,1pl_o,1st (excl) Person Plural,50712,,,,mang1381,merlan-1989
-ŋiɳja,,1pl_p,1st (excl) Person Plural,50711,,,,mang1381,merlan-1989
ŋi,,12du_a,1st (incl) Person Dual,50710,,,,mang1381,merlan-1989
ŋi,,12du_s,1st (incl) Person Dual,50709,,,,mang1381,merlan-1989
ŋin,,12du_o,1st (incl) Person Dual,50708,,,,mang1381,merlan-1989
-ŋiga,,12du_p,1st (incl) Person Dual,50707,,,,mang1381,merlan-1989
ŋaɭa,,12pl_a,1st (incl) Person Plural,50706,,,,mang1381,merlan-1989
ŋaɭa,,12pl_s,1st (incl) Person Plural,50705,,,,mang1381,merlan-1989
ŋajanŋan,,12pl_o,1st (incl) Person Plural,50704,,,,mang1381,merlan-1989
-ŋaɳja,,12pl_p,1st (incl) Person Plural,50703,,,,mang1381,merlan-1989
ɲaŋgi,,2sg_a,2nd Person Singular,50702,,,,mang1381,merlan-1989
ɲaŋgi,,2sg_s,2nd Person Singular,50701,,,,mang1381,merlan-1989
ɲan,,2sg_o,2nd Person Singular,50700,,,,mang1381,merlan-1989
-ŋaŋga,,2sg_p,2nd Person Singular,50699,,,,mang1381,merlan-1989
ɳuɾ,,2du_a,2nd Person Dual,50698,,,,mang1381,merlan-1989
ɳuɾ,,2du_s,2nd Person Dual,50697,,,,mang1381,merlan-1989
ɳuɾaŋan,,2du_o,2nd Person Dual,50696,,,,mang1381,merlan-1989
-ɳuɾa,,2du_p,2nd Person Dual,50695,,,,mang1381,merlan-1989
ɳuɭa,,2pl_a,2nd Person Plural,50694,,,,mang1381,merlan-1989
ɳuɭa,,2pl_s,2nd Person Plural,50693,,,,mang1381,merlan-1989
ɳujanŋan,,2pl_o,2nd Person Plural,50692,,,,mang1381,merlan-1989
ɳuɳja,,2pl_p,2nd Person Plural,50691,,,,mang1381,merlan-1989
ɳaɾiwa,,3sg_m_a,3rd Person Singular Masculine,50690,,,,mang1381,merlan-1989
ɳaɾiwa,,3sg_m_s,3rd Person Singular Masculine,50689,,,,mang1381,merlan-1989
ɲiŋgiwa,,3sg_m_o,3rd Person Singular Masculine,50688,,The form /ɲiŋgi/ also occurs (Merlan 1989:110).,,mang1381,merlan-1989
-ɳawu,,3sg_m_p,3rd Person Singular Masculine,50687,,,,mang1381,merlan-1989
ŋaɭiwa,,3sg_n_a,3rd Person Singular Neuter,50686,,,,mang1381,merlan-1989
ŋaɭiwa,,3sg_n_s,3rd Person Singular Neuter,50685,,,,mang1381,merlan-1989
ŋangiwa,,3sg_n_o,3rd Person Singular Neuter,50684,,The form /ŋangi/ also occurs (Merlan 1989:110).,,mang1381,merlan-1989
-ŋajawu,,3sg_n_p,3rd Person Singular Neuter,50683,,,,mang1381,merlan-1989
gaɾanwa,,3d-a,3rd Person Dual,50682,,,,mang1381,merlan-1989
gaɾanwa,,3d-s,3rd Person Dual,50681,,,,mang1381,merlan-1989
gaɾaŋan,,3d-o,3rd Person Dual,50680,,,,mang1381,merlan-1989
-wuɾa,,3d-p,3rd Person Dual,50679,,,,mang1381,merlan-1989
gaɭaɾiwa,,3p-a,3rd Person Plural,50678,,,,mang1381,merlan-1989
gaɭaɾiwa,,3p-s,3rd Person Plural,50677,,,,mang1381,merlan-1989
gajanŋan,,3p-o,3rd Person Plural,50676,,,,mang1381,merlan-1989
-wuɳja,,3p-p,3rd Person Plural,50675,,,,mang1381,merlan-1989
