word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
bi,,1sg_a,1st (excl) Person Singular,48862,,,,halh1238,gaunt-and-bayarmandakh-2004
bi,,1sg_s,1st (excl) Person Singular,48861,,,,halh1238,gaunt-and-bayarmandakh-2004
namaig,,1sg_o,1st (excl) Person Singular,48860,,,,halh1238,gaunt-and-bayarmandakh-2004
minii,,1sg_p,1st (excl) Person Singular,48859,,,,halh1238,gaunt-and-bayarmandakh-2004
bid,,1du_a,1st (excl) Person Dual,48858,,,,halh1238,gaunt-and-bayarmandakh-2004
bid,,1du_s,1st (excl) Person Dual,48857,,,,halh1238,gaunt-and-bayarmandakh-2004
bidniig,,1du_o,1st (excl) Person Dual,48856,,,,halh1238,gaunt-and-bayarmandakh-2004
bidnii,,1du_p,1st (excl) Person Dual,48855,,,,halh1238,gaunt-and-bayarmandakh-2004
bid,,1pl_a,1st (excl) Person Plural,48854,,,,halh1238,gaunt-and-bayarmandakh-2004
bid,,1pl_s,1st (excl) Person Plural,48853,,,,halh1238,gaunt-and-bayarmandakh-2004
bidniig,,1pl_o,1st (excl) Person Plural,48852,,,,halh1238,gaunt-and-bayarmandakh-2004
bidnii,,1pl_p,1st (excl) Person Plural,48851,,,,halh1238,gaunt-and-bayarmandakh-2004
bid,,12du_a,1st (incl) Person Dual,48850,,,,halh1238,gaunt-and-bayarmandakh-2004
bid,,12du_s,1st (incl) Person Dual,48849,,,,halh1238,gaunt-and-bayarmandakh-2004
bidniig,,12du_o,1st (incl) Person Dual,48848,,,,halh1238,gaunt-and-bayarmandakh-2004
bidnii,,12du_p,1st (incl) Person Dual,48847,,,,halh1238,gaunt-and-bayarmandakh-2004
bid,,12pl_a,1st (incl) Person Plural,48846,,,,halh1238,gaunt-and-bayarmandakh-2004
bid,,12pl_s,1st (incl) Person Plural,48845,,,,halh1238,gaunt-and-bayarmandakh-2004
bidniig,,12pl_o,1st (incl) Person Plural,48844,,,,halh1238,gaunt-and-bayarmandakh-2004
bidnii,,12pl_p,1st (incl) Person Plural,48843,,,,halh1238,gaunt-and-bayarmandakh-2004
t͡ʃ i,,2sg_a,2nd Person Singular,48842,,"'t͡ʃ i' is in fact the second person familiar form, the second person formal pronoun is 'ta' (Gaunt and Bayarmandakh 2004:80).",,halh1238,gaunt-and-bayarmandakh-2004
