word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
úúxóʔo;;1sg_a;1st (excl) Person Singular;52574;;;;muin1242;walton-hensarling-and-maxwell-2000
úúxóʔo;;1sg_s;1st (excl) Person Singular;52573;;;;muin1242;walton-hensarling-and-maxwell-2000
úúxóʔo;;1sg_o;1st (excl) Person Singular;52572;;;;muin1242;walton-hensarling-and-maxwell-2000
ta-;;1sg_p;1st (excl) Person Singular;52571;;;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́si ;;1du_a;1st (excl) Person Dual;52570;;mɨ́ɨ́ɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́si ;;1du_s;1st (excl) Person Dual;52569;;mɨ́ɨ́ɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́si ;;1du_o;1st (excl) Person Dual;52568;;mɨ́ɨ́ɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
mo-;;1du_p;1st (excl) Person Dual;52567;;;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́ʔai;;1pl_a;1st (excl) Person Plural;52566;;;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́ʔai;;1pl_s;1st (excl) Person Plural;52565;;;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́ʔai;;1pl_o;1st (excl) Person Plural;52564;;;;muin1242;walton-hensarling-and-maxwell-2000
mo-;;1pl_p;1st (excl) Person Plural;52563;;;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́si ;;12du_a;1st (incl) Person Dual;52562;;mɨ́ɨ́ɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́si ;;12du_s;1st (incl) Person Dual;52561;;mɨ́ɨ́ɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́si ;;12du_o;1st (incl) Person Dual;52560;;mɨ́ɨ́ɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
mo-;;12du_p;1st (incl) Person Dual;52559;;;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́ʔai;;12pl_a;1st (incl) Person Plural;52558;;;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́ʔai;;12pl_s;1st (incl) Person Plural;52557;;;;muin1242;walton-hensarling-and-maxwell-2000
mɨ́ɨ́ʔai;;12pl_o;1st (incl) Person Plural;52556;;;;muin1242;walton-hensarling-and-maxwell-2000
mo-;;12pl_p;1st (incl) Person Plural;52555;;;;muin1242;walton-hensarling-and-maxwell-2000
ɨ́ɨ́xóʔo;;2sg_a;2nd Person Singular;52554;;;;muin1242;walton-hensarling-and-maxwell-2000
ɨ́ɨ́xóʔo;;2sg_s;2nd Person Singular;52553;;;;muin1242;walton-hensarling-and-maxwell-2000
ɨ́ɨ́xóʔo;;2sg_o;2nd Person Singular;52552;;;;muin1242;walton-hensarling-and-maxwell-2000
di-;;2sg_p;2nd Person Singular;52551;;;;muin1242;walton-hensarling-and-maxwell-2000
ámɨɨsi;;2du_a;2nd Person Dual;52550;;ámɨɨɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
ámɨɨsi;;2du_s;2nd Person Dual;52549;;ámɨɨɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
ámɨɨsi;;2du_o;2nd Person Dual;52548;;ámɨɨɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
ámɨɨsi;;2du_p;2nd Person Dual;52547;;ámɨɨɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
ámɨɨʔai;;2pl_a;2nd Person Plural;52546;;;;muin1242;walton-hensarling-and-maxwell-2000
ámɨɨʔai;;2pl_s;2nd Person Plural;52545;;;;muin1242;walton-hensarling-and-maxwell-2000
ámɨɨʔai;;2pl_o;2nd Person Plural;52544;;;;muin1242;walton-hensarling-and-maxwell-2000
ámɨɨʔai;;2pl_p;2nd Person Plural;52543;;;;muin1242;walton-hensarling-and-maxwell-2000
dííbo;;3sg_m_a;3rd Person Singular Masculine;52542;;;;muin1242;walton-hensarling-and-maxwell-2000
dííbo;;3sg_m_s;3rd Person Singular Masculine;52541;;;;muin1242;walton-hensarling-and-maxwell-2000
dííbo;;3sg_m_o;3rd Person Singular Masculine;52540;;;;muin1242;walton-hensarling-and-maxwell-2000
i-;;3sg_m_p;3rd Person Singular Masculine;52539;;;;muin1242;walton-hensarling-and-maxwell-2000
díígo;;3sg_n_a;3rd Person Singular Neuter;52538;;;;muin1242;walton-hensarling-and-maxwell-2000
díígo;;3sg_n_s;3rd Person Singular Neuter;52537;;;;muin1242;walton-hensarling-and-maxwell-2000
díígo;;3sg_n_o;3rd Person Singular Neuter;52536;;;;muin1242;walton-hensarling-and-maxwell-2000
i-;;3sg_n_p;3rd Person Singular Neuter;52535;;;;muin1242;walton-hensarling-and-maxwell-2000
díítɨsi ;;3d-a;3rd Person Dual;52534;;diitɨɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
díítɨsi ;;3d-s;3rd Person Dual;52533;;diitɨɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
díítɨsi ;;3d-o;3rd Person Dual;52532;;diitɨɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
díítɨsi ;;3d-p;3rd Person Dual;52531;;diitɨɸe as feminine form;;muin1242;walton-hensarling-and-maxwell-2000
diito;;3p-a;3rd Person Plural;52530;;;;muin1242;walton-hensarling-and-maxwell-2000
diito;;3p-s;3rd Person Plural;52529;;;;muin1242;walton-hensarling-and-maxwell-2000
diito;;3p-o;3rd Person Plural;52528;;;;muin1242;walton-hensarling-and-maxwell-2000
diito;;3p-p;3rd Person Plural;52527;;;;muin1242;walton-hensarling-and-maxwell-2000
