word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
(ɨ)ma;;1sg_a;1st (excl) Person Singular;60688;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ)ma;;1sg_s;1st (excl) Person Singular;60687;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ)ma;;1sg_o;1st (excl) Person Singular;60686;;;;ngit1239;lojenga-constance-kutsch-1994
pbàkà;;1sg_p;1st (excl) Person Singular;60685;;only alienable possession was entered;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)mà;;1du_a;1st (excl) Person Dual;60684;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)mà;;1du_s;1st (excl) Person Dual;60683;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)mà;;1du_o;1st (excl) Person Dual;60682;;;;ngit1239;lojenga-constance-kutsch-1994
fàká;;1du_p;1st (excl) Person Dual;60681;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)mà;;1pl_a;1st (excl) Person Plural;60680;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)mà;;1pl_s;1st (excl) Person Plural;60679;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)mà;;1pl_o;1st (excl) Person Plural;60678;;;;ngit1239;lojenga-constance-kutsch-1994
fàká;;1pl_p;1st (excl) Person Plural;60677;;;;ngit1239;lojenga-constance-kutsch-1994
àlɛ̀;;12du_a;1st (incl) Person Dual;60676;;;;ngit1239;lojenga-constance-kutsch-1994
àlɛ̀;;12du_s;1st (incl) Person Dual;60675;;;;ngit1239;lojenga-constance-kutsch-1994
àlɛ̀;;12du_o;1st (incl) Person Dual;60674;;;;ngit1239;lojenga-constance-kutsch-1994
fàká;;12du_p;1st (incl) Person Dual;60673;;;;ngit1239;lojenga-constance-kutsch-1994
àlɛ̀;;12pl_a;1st (incl) Person Plural;60672;;;;ngit1239;lojenga-constance-kutsch-1994
àlɛ̀;;12pl_s;1st (incl) Person Plural;60671;;;;ngit1239;lojenga-constance-kutsch-1994
àlɛ̀;;12pl_o;1st (incl) Person Plural;60670;;;;ngit1239;lojenga-constance-kutsch-1994
fàká;;12pl_p;1st (incl) Person Plural;60669;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ)nyɨ;;2sg_a;2nd Person Singular;60668;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)nyɨ̀;;2sg_s;2nd Person Singular;60667;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)nyɨ̀;;2sg_o;2nd Person Singular;60666;;;;ngit1239;lojenga-constance-kutsch-1994
pbʉ̀kʉ̀;;2sg_p;2nd Person Singular;60665;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)nyɨ̀;;2du_a;2nd Person Dual;60664;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)nyɨ̀;;2du_s;2nd Person Dual;60663;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)nyɨ̀;;2du_o;2nd Person Dual;60662;;;;ngit1239;lojenga-constance-kutsch-1994
fʉ̀kʉ́;;2du_p;2nd Person Dual;60661;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)nyɨ̀;;2pl_a;2nd Person Plural;60660;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)nyɨ̀;;2pl_s;2nd Person Plural;60659;;;;ngit1239;lojenga-constance-kutsch-1994
(ɨ̀)nyɨ̀;;2pl_o;2nd Person Plural;60658;;;;ngit1239;lojenga-constance-kutsch-1994
fʉ̀kʉ́;;2pl_p;2nd Person Plural;60657;;;;ngit1239;lojenga-constance-kutsch-1994
ka;;3sg_m_a;3rd Person Singular Masculine;60656;;;;ngit1239;lojenga-constance-kutsch-1994
ka;;3sg_m_s;3rd Person Singular Masculine;60655;;;;ngit1239;lojenga-constance-kutsch-1994
ka;;3sg_m_o;3rd Person Singular Masculine;60654;;;;ngit1239;lojenga-constance-kutsch-1994
pbɨ̀kɨ̀;;3sg_m_p;3rd Person Singular Masculine;60653;;;;ngit1239;lojenga-constance-kutsch-1994
ka;;3sg_n_a;3rd Person Singular Neuter;60652;;;;ngit1239;lojenga-constance-kutsch-1994
ka;;3sg_n_s;3rd Person Singular Neuter;60651;;;;ngit1239;lojenga-constance-kutsch-1994
ka;;3sg_n_o;3rd Person Singular Neuter;60650;;;;ngit1239;lojenga-constance-kutsch-1994
pbɨ̀kɨ̀;;3sg_n_p;3rd Person Singular Neuter;60649;;;;ngit1239;lojenga-constance-kutsch-1994
abádhí;;3d-a;3rd Person Dual;60648;;;;ngit1239;lojenga-constance-kutsch-1994
abádhí;;3d-s;3rd Person Dual;60647;;;;ngit1239;lojenga-constance-kutsch-1994
abádhí;;3d-o;3rd Person Dual;60646;;;;ngit1239;lojenga-constance-kutsch-1994
fɨ̀kɨ́;;3d-p;3rd Person Dual;60645;;;;ngit1239;lojenga-constance-kutsch-1994
abádhí;;3p-a;3rd Person Plural;60644;;;;ngit1239;lojenga-constance-kutsch-1994
abádhí;;3p-s;3rd Person Plural;60643;;;;ngit1239;lojenga-constance-kutsch-1994
abádhí;;3p-o;3rd Person Plural;60642;;;;ngit1239;lojenga-constance-kutsch-1994
fɨ̀kɨ́;;3p-p;3rd Person Plural;60641;;;;ngit1239;lojenga-constance-kutsch-1994
