word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ŋkai;;1sg_a;1st (excl) Person Singular;22670;;;;ngka1235;carroll-2013
ŋko;;1sg_s;1st (excl) Person Singular;22671;;;;ngka1235;carroll-2013
ŋko;;1sg_o;1st (excl) Person Singular;22672;;;;ngka1235;carroll-2013
nson;;1sg_p;1st (excl) Person Singular;22673;;;;ngka1235;carroll-2013
ninta;;1du_a;1st (excl) Person Dual;22674;;;;ngka1235;carroll-2013
ni;;1du_s;1st (excl) Person Dual;22675;;;;ngka1235;carroll-2013
ni;;1du_o;1st (excl) Person Dual;22676;;;;ngka1235;carroll-2013
ncen;;1du_p;1st (excl) Person Dual;22677;;;;ngka1235;carroll-2013
ninta;;1pl_a;1st (excl) Person Plural;22678;;;;ngka1235;carroll-2013
ni;;1pl_s;1st (excl) Person Plural;22679;;;;ngka1235;carroll-2013
ni;;1pl_o;1st (excl) Person Plural;22680;;;;ngka1235;carroll-2013
ncen;;1pl_p;1st (excl) Person Plural;22681;;;;ngka1235;carroll-2013
ninta;;12du_a;1st (incl) Person Dual;22682;;;;ngka1235;carroll-2013
ni;;12du_s;1st (incl) Person Dual;22683;;;;ngka1235;carroll-2013
ni;;12du_o;1st (incl) Person Dual;22684;;;;ngka1235;carroll-2013
ncen;;12du_p;1st (incl) Person Dual;22685;;;;ngka1235;carroll-2013
ninta;;12pl_a;1st (incl) Person Plural;22686;;;;ngka1235;carroll-2013
ni;;12pl_s;1st (incl) Person Plural;22687;;;;ngka1235;carroll-2013
ni;;12pl_o;1st (incl) Person Plural;22688;;;;ngka1235;carroll-2013
ncen;;12pl_p;1st (incl) Person Plural;22689;;;;ngka1235;carroll-2013
mpai;;2sg_a;2nd Person Singular;22690;;;;ngka1235;carroll-2013
mpu;;2sg_s;2nd Person Singular;22691;;;;ngka1235;carroll-2013
mpu;;2sg_o;2nd Person Singular;22692;;;;ngka1235;carroll-2013
mpon;;2sg_p;2nd Person Singular;22693;;;;ngka1235;carroll-2013
mpunta;;2du_a;2nd Person Dual;22694;;;;ngka1235;carroll-2013
mpu;;2du_s;2nd Person Dual;22695;;;;ngka1235;carroll-2013
mpu;;2du_o;2nd Person Dual;22696;;;;ngka1235;carroll-2013
mpon;;2du_p;2nd Person Dual;22697;;;;ngka1235;carroll-2013
mpunta;;2pl_a;2nd Person Plural;22698;;;;ngka1235;carroll-2013
mpu;;2pl_s;2nd Person Plural;22699;;;;ngka1235;carroll-2013
mpu;;2pl_o;2nd Person Plural;22700;;;;ngka1235;carroll-2013
mpon;;2pl_p;2nd Person Plural;22701;;;;ngka1235;carroll-2013
piəŋku;;3sg_m_a;3rd Person Singular Masculine;22702;;;;ngka1235;carroll-2013
pi;;3sg_m_s;3rd Person Singular Masculine;22703;;;;ngka1235;carroll-2013
pi;;3sg_m_o;3rd Person Singular Masculine;22704;;;;ngka1235;carroll-2013
pen;;3sg_m_p;3rd Person Singular Masculine;22705;;;;ngka1235;carroll-2013
piəŋku;;3sg_f_a;3rd Person Singular Feminine;22706;;;;ngka1235;carroll-2013
pi;;3sg_f_s;3rd Person Singular Feminine;22707;;;;ngka1235;carroll-2013
pi;;3sg_f_o;3rd Person Singular Feminine;22708;;;;ngka1235;carroll-2013
