word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
wɛɛm,,1sg_a,1st (excl) Person Singular,53657,,,,nuka1242,bolanos-and-epps-2009
wɛɛm,,1sg_s,1st (excl) Person Singular,53656,,,,nuka1242,bolanos-and-epps-2009
wɛɛm,,1sg_o,1st (excl) Person Singular,53655,,,,nuka1242,bolanos-and-epps-2009
wɛɛm,,1sg_p,1st (excl) Person Singular,53654,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,1du_a,1st (excl) Person Dual,53653,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,1du_s,1st (excl) Person Dual,53652,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,1du_o,1st (excl) Person Dual,53651,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,1du_p,1st (excl) Person Dual,53650,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,1pl_a,1st (excl) Person Plural,53649,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,1pl_s,1st (excl) Person Plural,53648,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,1pl_o,1st (excl) Person Plural,53647,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,1pl_p,1st (excl) Person Plural,53646,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,12du_a,1st (incl) Person Dual,53645,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,12du_s,1st (incl) Person Dual,53644,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,12du_o,1st (incl) Person Dual,53643,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,12du_p,1st (incl) Person Dual,53642,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,12pl_a,1st (incl) Person Plural,53641,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,12pl_s,1st (incl) Person Plural,53640,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,12pl_o,1st (incl) Person Plural,53639,,,,nuka1242,bolanos-and-epps-2009
ɸiit,,12pl_p,1st (incl) Person Plural,53638,,,,nuka1242,bolanos-and-epps-2009
mɛɛm,,2sg_a,2nd Person Singular,53637,,,,nuka1242,bolanos-and-epps-2009
mɛɛm,,2sg_s,2nd Person Singular,53636,,,,nuka1242,bolanos-and-epps-2009
mɛɛm,,2sg_o,2nd Person Singular,53635,,,,nuka1242,bolanos-and-epps-2009
mɛɛm,,2sg_p,2nd Person Singular,53634,,,,nuka1242,bolanos-and-epps-2009
jɛɛbm,,2du_a,2nd Person Dual,53633,,,,nuka1242,bolanos-and-epps-2009
jɛɛbm,,2du_s,2nd Person Dual,53632,,,,nuka1242,bolanos-and-epps-2009
jɛɛbm,,2du_o,2nd Person Dual,53631,,,,nuka1242,bolanos-and-epps-2009
jɛɛbm,,2du_p,2nd Person Dual,53630,,,,nuka1242,bolanos-and-epps-2009
jɛɛbm,,2pl_a,2nd Person Plural,53629,,,,nuka1242,bolanos-and-epps-2009
jɛɛbm,,2pl_s,2nd Person Plural,53628,,,,nuka1242,bolanos-and-epps-2009
jɛɛbm,,2pl_o,2nd Person Plural,53627,,,,nuka1242,bolanos-and-epps-2009
jɛɛbm,,2pl_p,2nd Person Plural,53626,,,,nuka1242,bolanos-and-epps-2009
kaan,,3sg_m_a,3rd Person Singular Masculine,53625,,,,nuka1242,bolanos-and-epps-2009
kaan,,3sg_m_s,3rd Person Singular Masculine,53624,,,,nuka1242,bolanos-and-epps-2009
kaan,,3sg_m_o,3rd Person Singular Masculine,53623,,,,nuka1242,bolanos-and-epps-2009
kaan,,3sg_m_p,3rd Person Singular Masculine,53622,,,,nuka1242,bolanos-and-epps-2009
kaanʔ,,3sg_n_a,3rd Person Singular Neuter,53621,,,,nuka1242,bolanos-and-epps-2009
kaanʔ,,3sg_n_s,3rd Person Singular Neuter,53620,,,,nuka1242,bolanos-and-epps-2009
kaanʔ,,3sg_n_o,3rd Person Singular Neuter,53619,,,,nuka1242,bolanos-and-epps-2009
kaanʔ,,3sg_n_p,3rd Person Singular Neuter,53618,,,,nuka1242,bolanos-and-epps-2009
kɛɛt,,3d-a,3rd Person Dual,53617,,,,nuka1242,bolanos-and-epps-2009
kɛɛt,,3d-s,3rd Person Dual,53616,,,,nuka1242,bolanos-and-epps-2009
kɛɛt,,3d-o,3rd Person Dual,53615,,,,nuka1242,bolanos-and-epps-2009
kɛɛt,,3d-p,3rd Person Dual,53614,,,,nuka1242,bolanos-and-epps-2009
kɛɛt,,3p-a,3rd Person Plural,53613,,,,nuka1242,bolanos-and-epps-2009
kɛɛt,,3p-s,3rd Person Plural,53612,,,,nuka1242,bolanos-and-epps-2009
kɛɛt,,3p-o,3rd Person Plural,53611,,,,nuka1242,bolanos-and-epps-2009
kɛɛt,,3p-p,3rd Person Plural,53610,,,,nuka1242,bolanos-and-epps-2009
