word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
tʰɨ,,1sg_a,1st (excl) Person Singular,52950,,,,piar1243,mosonyi2-2000
tʰɨ,,1sg_s,1st (excl) Person Singular,52949,,,,piar1243,mosonyi2-2000
tʰɨ,,1sg_o,1st (excl) Person Singular,52948,,,,piar1243,mosonyi2-2000
"tʃĩ-, tʃu-",,1sg_p,1st (excl) Person Singular,52947,,,,piar1243,mosonyi2-2000
uhutu,,1du_a,1st (excl) Person Dual,52946,,,,piar1243,mosonyi2-2000
uhutu,,1du_s,1st (excl) Person Dual,52945,,,,piar1243,mosonyi2-2000
uhutu,,1du_o,1st (excl) Person Dual,52944,,,,piar1243,mosonyi2-2000
"tĩ-, tu-",,1du_p,1st (excl) Person Dual,52943,,,,piar1243,mosonyi2-2000
uhutu,,1pl_a,1st (excl) Person Plural,52942,,,,piar1243,mosonyi2-2000
uhutu,,1pl_s,1st (excl) Person Plural,52941,,,,piar1243,mosonyi2-2000
uhutu,,1pl_o,1st (excl) Person Plural,52940,,,,piar1243,mosonyi2-2000
"tĩ-, tu-",,1pl_p,1st (excl) Person Plural,52939,,,,piar1243,mosonyi2-2000
uhutu,,12du_a,1st (incl) Person Dual,52938,,,,piar1243,mosonyi2-2000
uhutu,,12du_s,1st (incl) Person Dual,52937,,,,piar1243,mosonyi2-2000
uhutu,,12du_o,1st (incl) Person Dual,52936,,,,piar1243,mosonyi2-2000
"tĩ-, tu-",,12du_p,1st (incl) Person Dual,52935,,,,piar1243,mosonyi2-2000
uhutu,,12pl_a,1st (incl) Person Plural,52934,,,,piar1243,mosonyi2-2000
uhutu,,12pl_s,1st (incl) Person Plural,52933,,,,piar1243,mosonyi2-2000
uhutu,,12pl_o,1st (incl) Person Plural,52932,,,,piar1243,mosonyi2-2000
"tĩ-, tu-",,12pl_p,1st (incl) Person Plural,52931,,,,piar1243,mosonyi2-2000
uku,,2sg_a,2nd Person Singular,52930,,,,piar1243,mosonyi2-2000
uku,,2sg_s,2nd Person Singular,52929,,,,piar1243,mosonyi2-2000
uku,,2sg_o,2nd Person Singular,52928,,,,piar1243,mosonyi2-2000
"kʷĩ-, ku-",,2sg_p,2nd Person Singular,52927,,,,piar1243,mosonyi2-2000
ukutu,,2du_a,2nd Person Dual,52926,,,,piar1243,mosonyi2-2000
ukutu,,2du_s,2nd Person Dual,52925,,,,piar1243,mosonyi2-2000
ukutu,,2du_o,2nd Person Dual,52924,,,,piar1243,mosonyi2-2000
"kʷĩ-, ku-",,2du_p,2nd Person Dual,52923,,,,piar1243,mosonyi2-2000
ukutu,,2pl_a,2nd Person Plural,52922,,,,piar1243,mosonyi2-2000
ukutu,,2pl_s,2nd Person Plural,52921,,,,piar1243,mosonyi2-2000
ukutu,,2pl_o,2nd Person Plural,52920,,,,piar1243,mosonyi2-2000
"kʷĩ-, ku-",,2pl_p,2nd Person Plural,52919,,,,piar1243,mosonyi2-2000
hʷãũ,,3sg_m_a,3rd Person Singular Masculine,52918,,,,piar1243,mosonyi2-2000
hʷãũ,,3sg_m_s,3rd Person Singular Masculine,52917,,,,piar1243,mosonyi2-2000
hʷãũ,,3sg_m_o,3rd Person Singular Masculine,52916,,,,piar1243,mosonyi2-2000
"ĩ-, u-",,3sg_m_p,3rd Person Singular Masculine,52915,,,,piar1243,mosonyi2-2000
hʷæhu,,3sg_n_a,3rd Person Singular Neuter,52914,,,,piar1243,mosonyi2-2000
hʷæhu,,3sg_n_s,3rd Person Singular Neuter,52913,,,,piar1243,mosonyi2-2000
hʷæhu,,3sg_n_o,3rd Person Singular Neuter,52912,,,,piar1243,mosonyi2-2000
"hĩ-, hu-",,3sg_n_p,3rd Person Singular Neuter,52911,,,,piar1243,mosonyi2-2000
hʷætɨ,,3d-a,3rd Person Dual,52910,,,,piar1243,mosonyi2-2000
hʷætɨ,,3d-s,3rd Person Dual,52909,,,,piar1243,mosonyi2-2000
hʷætɨ,,3d-o,3rd Person Dual,52908,,,,piar1243,mosonyi2-2000
"tʰĩ-, tʰu-",,3d-p,3rd Person Dual,52907,,,,piar1243,mosonyi2-2000
hʷætɨ,,3p-a,3rd Person Plural,52906,,,,piar1243,mosonyi2-2000
hʷætɨ,,3p-s,3rd Person Plural,52905,,,,piar1243,mosonyi2-2000
hʷætɨ,,3p-o,3rd Person Plural,52904,,,,piar1243,mosonyi2-2000
"tʰĩ-, tʰu-",,3p-p,3rd Person Plural,52903,,,,piar1243,mosonyi2-2000
