word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
neʔí,,1sg_a,1st (excl) Person Singular,41830,,,,pura1253,de-vries-2004
neʔí,,1sg_s,1st (excl) Person Singular,41829,,,,pura1253,de-vries-2004
neʔí,,1sg_o,1st (excl) Person Singular,41828,,,,pura1253,de-vries-2004
neʔí,,1sg_p,1st (excl) Person Singular,41827,,,,pura1253,de-vries-2004
nididi,,1du_a,1st (excl) Person Dual,41826,,,,pura1253,de-vries-2004
nididi,,1du_s,1st (excl) Person Dual,41825,,,,pura1253,de-vries-2004
nididi,,1du_o,1st (excl) Person Dual,41824,,,,pura1253,de-vries-2004
nididi,,1du_p,1st (excl) Person Dual,41823,,,,pura1253,de-vries-2004
nididi,,1pl_a,1st (excl) Person Plural,41822,,,,pura1253,de-vries-2004
nididi,,1pl_s,1st (excl) Person Plural,41821,,,,pura1253,de-vries-2004
nididi,,1pl_o,1st (excl) Person Plural,41820,,,,pura1253,de-vries-2004
nididi,,1pl_p,1st (excl) Person Plural,41819,,,,pura1253,de-vries-2004
nididi,,12du_a,1st (incl) Person Dual,41818,,,,pura1253,de-vries-2004
nididi,,12du_s,1st (incl) Person Dual,41817,,,,pura1253,de-vries-2004
nididi,,12du_o,1st (incl) Person Dual,41816,,,,pura1253,de-vries-2004
nididi,,12du_p,1st (incl) Person Dual,41815,,,,pura1253,de-vries-2004
nididi,,12pl_a,1st (incl) Person Plural,41814,,,,pura1253,de-vries-2004
nididi,,12pl_s,1st (incl) Person Plural,41813,,,,pura1253,de-vries-2004
nididi,,12pl_o,1st (incl) Person Plural,41812,,,,pura1253,de-vries-2004
nididi,,12pl_p,1st (incl) Person Plural,41811,,,,pura1253,de-vries-2004
eʔí,,2sg_a,2nd Person Singular,41810,,,,pura1253,de-vries-2004
eʔí,,2sg_s,2nd Person Singular,41809,,,,pura1253,de-vries-2004
eʔí,,2sg_o,2nd Person Singular,41808,,,,pura1253,de-vries-2004
eʔí,,2sg_p,2nd Person Singular,41807,,,,pura1253,de-vries-2004
eʔemu,,2du_a,2nd Person Dual,42519,,,,pura1253,de-vries-2004
ididi,,2du_a,2nd Person Dual,42520,,,,pura1253,de-vries-2004
eʔemu,,2du_s,2nd Person Dual,42517,,,,pura1253,de-vries-2004
ididi,,2du_s,2nd Person Dual,42518,,,,pura1253,de-vries-2004
eʔemu,,2du_o,2nd Person Dual,42515,,,,pura1253,de-vries-2004
ididi,,2du_o,2nd Person Dual,42516,,,,pura1253,de-vries-2004
eʔemu,,2du_p,2nd Person Dual,42513,,,,pura1253,de-vries-2004
ididi,,2du_p,2nd Person Dual,42514,,,,pura1253,de-vries-2004
eʔemu,,2pl_a,2nd Person Plural,42511,,,,pura1253,de-vries-2004
ididi,,2pl_a,2nd Person Plural,42512,,,,pura1253,de-vries-2004
eʔemu,,2pl_s,2nd Person Plural,42523,,,,pura1253,de-vries-2004
ididi,,2pl_s,2nd Person Plural,42524,,,,pura1253,de-vries-2004
eʔemu,,2pl_o,2nd Person Plural,42509,,,,pura1253,de-vries-2004
ididi,,2pl_o,2nd Person Plural,42510,,,,pura1253,de-vries-2004
eʔemu,,2pl_p,2nd Person Plural,42521,,,,pura1253,de-vries-2004
ididi,,2pl_p,2nd Person Plural,42522,,,,pura1253,de-vries-2004
nide,,3sg_m_a,3rd Person Singular Masculine,41798,,,,pura1253,de-vries-2004
nide,,3sg_m_s,3rd Person Singular Masculine,41797,,,,pura1253,de-vries-2004
nide,,3sg_m_o,3rd Person Singular Masculine,41796,,,,pura1253,de-vries-2004
nide,,3sg_m_p,3rd Person Singular Masculine,41795,,,,pura1253,de-vries-2004
nido,,3sg_n_a,3rd Person Singular Neuter,41794,,,,pura1253,de-vries-2004
nido,,3sg_n_s,3rd Person Singular Neuter,41793,,,,pura1253,de-vries-2004
nido,,3sg_n_o,3rd Person Singular Neuter,41792,,,,pura1253,de-vries-2004
nido,,3sg_n_p,3rd Person Singular Neuter,41791,,,,pura1253,de-vries-2004
nidáo,,3d-a,3rd Person Dual,41790,,,,pura1253,de-vries-2004
nidáo,,3d-s,3rd Person Dual,41789,,,,pura1253,de-vries-2004
nidáo,,3d-o,3rd Person Dual,41788,,,,pura1253,de-vries-2004
nidáo,,3d-p,3rd Person Dual,41787,,,,pura1253,de-vries-2004
nidáo,,3p-a,3rd Person Plural,41786,,,,pura1253,de-vries-2004
nidáo,,3p-s,3rd Person Plural,41785,,,,pura1253,de-vries-2004
nidáo,,3p-o,3rd Person Plural,41784,,,,pura1253,de-vries-2004
nidáo,,3p-p,3rd Person Plural,41783,,,,pura1253,de-vries-2004
