word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ŋinda,,1sg_a,1st (excl) Person Singular,23078,,,,remb1249,saulwick-2003
ŋinda,,1sg_s,1st (excl) Person Singular,23079,,,,remb1249,saulwick-2003
ŋinda,,1sg_o,1st (excl) Person Singular,23080,,,,remb1249,saulwick-2003
-ŋənə,,1sg_p,1st (excl) Person Singular,23081,,,,remb1249,saulwick-2003
yandapparaʔ,,1du_a,1st (excl) Person Dual,23082,,,,remb1249,saulwick-2003
yandapparaʔ,,1du_s,1st (excl) Person Dual,23083,,,,remb1249,saulwick-2003
yandapparaʔ,,1du_o,1st (excl) Person Dual,23084,,,,remb1249,saulwick-2003
-yarə,,1du_p,1st (excl) Person Dual,23085,,,,remb1249,saulwick-2003
yandagappul,,1pl_a,1st (excl) Person Plural,23086,,,,remb1249,saulwick-2003
yandagappul,,1pl_s,1st (excl) Person Plural,23087,,,,remb1249,saulwick-2003
yandagappul,,1pl_o,1st (excl) Person Plural,23088,,,,remb1249,saulwick-2003
-yarəgappul,,1pl_p,1st (excl) Person Plural,23089,,,,remb1249,saulwick-2003
yirapparaʔ,,12du_a,1st (incl) Person Dual,23090,,,,remb1249,saulwick-2003
yindapparaʔ,,12du_a,1st (incl) Person Dual,23091,,,,remb1249,saulwick-2003
yirapparaʔ,,12du_s,1st (incl) Person Dual,23092,,,,remb1249,saulwick-2003
yirapparaʔ,,12du_o,1st (incl) Person Dual,23093,,,,remb1249,saulwick-2003
-yəkkə,,12du_p,1st (incl) Person Dual,23094,,,,remb1249,saulwick-2003
ŋagunda,,12pl_a,1st (incl) Person Plural,23095,,,,remb1249,saulwick-2003
ŋakundagappul,,12pl_a,1st (incl) Person Plural,23096,,,,remb1249,saulwick-2003
ŋagunda,,12pl_s,1st (incl) Person Plural,23097,,,,remb1249,saulwick-2003
ŋakundagappul,,12pl_s,1st (incl) Person Plural,23098,,,,remb1249,saulwick-2003
ŋagunda,,12pl_o,1st (incl) Person Plural,23099,,,,remb1249,saulwick-2003
ŋakundagappul,,12pl_o,1st (incl) Person Plural,23100,,,,remb1249,saulwick-2003
-ŋagorə,,12pl_p,1st (incl) Person Plural,23101,,,,remb1249,saulwick-2003
danda,,2sg_a,2nd Person Singular,23102,,,,remb1249,saulwick-2003
danda,,2sg_s,2nd Person Singular,23103,,,,remb1249,saulwick-2003
danda,,2sg_o,2nd Person Singular,23104,,,,remb1249,saulwick-2003
-gə,,2sg_p,2nd Person Singular,23105,,,,remb1249,saulwick-2003
nagundapparaʔ,,2du_a,2nd Person Dual,23106,,,,remb1249,saulwick-2003
nagundapparaʔ,,2du_s,2nd Person Dual,23107,,,,remb1249,saulwick-2003
nagundapparaʔ,,2du_o,2nd Person Dual,23108,,,,remb1249,saulwick-2003
-nagorpparaʔ,,2du_p,2nd Person Dual,23109,,,,remb1249,saulwick-2003
nagunda,,2pl_a,2nd Person Plural,23110,,,,remb1249,saulwick-2003
nagundagappul,,2pl_a,2nd Person Plural,23111,,,,remb1249,saulwick-2003
nagunda,,2pl_s,2nd Person Plural,23112,,,,remb1249,saulwick-2003
nagundagappul,,2pl_s,2nd Person Plural,23113,,,,remb1249,saulwick-2003
nagunda,,2pl_o,2nd Person Plural,23114,,,,remb1249,saulwick-2003
nagundagappul,,2pl_o,2nd Person Plural,23115,,,,remb1249,saulwick-2003
-nagorə,,2pl_p,2nd Person Plural,23116,,,,remb1249,saulwick-2003
niʔdanda,,3sg_m_a,3rd Person Singular Masculine,23117,,,,remb1249,saulwick-2003
niʔdanda,,3sg_m_s,3rd Person Singular Masculine,23118,,,,remb1249,saulwick-2003
niʔdanda,,3sg_m_o,3rd Person Singular Masculine,23119,,,,remb1249,saulwick-2003
-nawə,,3sg_m_p,3rd Person Singular Masculine,23120,,,,remb1249,saulwick-2003
ŋaciʔdanda,,3sg_f_a,3rd Person Singular Feminine,23121,,,,remb1249,saulwick-2003
ŋayiʔdanda,,3sg_f_a,3rd Person Singular Feminine,23122,,,,remb1249,saulwick-2003
ŋaciʔdanda,,3sg_f_s,3rd Person Singular Feminine,23123,,,,remb1249,saulwick-2003
ŋayiʔdanda,,3sg_f_s,3rd Person Singular Feminine,23124,,,,remb1249,saulwick-2003
ŋaciʔdanda,,3sg_f_o,3rd Person Singular Feminine,23125,,,,remb1249,saulwick-2003
ŋayiʔdanda,,3sg_f_o,3rd Person Singular Feminine,23126,,,,remb1249,saulwick-2003
-ŋadə,,3sg_f_p,3rd Person Singular Feminine,23127,,,,remb1249,saulwick-2003
niʔdanda,,3sg_n_a,3rd Person Singular Neuter,23128,,,,remb1249,saulwick-2003
niʔdanda,,3sg_n_s,3rd Person Singular Neuter,23129,,,,remb1249,saulwick-2003
niʔdanda,,3sg_n_o,3rd Person Singular Neuter,23130,,,,remb1249,saulwick-2003
-nawə,,3sg_n_p,3rd Person Singular Neuter,23131,,,,remb1249,saulwick-2003
bundapparaʔ,,3du_m_a,3rd Person Dual Masculine,23132,,,,remb1249,saulwick-2003
bundapparaʔ,,3du_m_s,3rd Person Dual Masculine,23133,,,,remb1249,saulwick-2003
bundapparaʔ,,3du_m_o,3rd Person Dual Masculine,23134,,,,remb1249,saulwick-2003
-barpparaʔ,,3du_m_p,3rd Person Dual Masculine,23135,,,,remb1249,saulwick-2003
bundapparaʔ,,3du_f_a,3rd Person Dual Feminine,23136,,,,remb1249,saulwick-2003
bundapparaʔ,,3du_f_s,3rd Person Dual Feminine,23137,,,,remb1249,saulwick-2003
bundapparaʔ,,3du_f_o,3rd Person Dual Feminine,23138,,,,remb1249,saulwick-2003
-barpparaʔ,,3du_f_p,3rd Person Dual Feminine,23139,,,,remb1249,saulwick-2003
bundapparaʔ,,3du_n_a,3rd Person Dual Neuter,23140,,,,remb1249,saulwick-2003
bundapparaʔ,,3du_n_s,3rd Person Dual Neuter,23141,,,,remb1249,saulwick-2003
bundapparaʔ,,3du_n_o,3rd Person Dual Neuter,23142,,,,remb1249,saulwick-2003
-barpparaʔ,,3du_n_p,3rd Person Dual Neuter,23143,,,,remb1249,saulwick-2003
bunda,,3pl_m_a,3rd Person Plural Masculine,23144,,,,remb1249,saulwick-2003
bunda,,3pl_m_s,3rd Person Plural Masculine,23145,,,,remb1249,saulwick-2003
bunda,,3pl_m_o,3rd Person Plural Masculine,23146,,,,remb1249,saulwick-2003
-barə,,3pl_m_p,3rd Person Plural Masculine,23147,,,,remb1249,saulwick-2003
bunda,,3pl_f_a,3rd Person Plural Feminine,23148,,,,remb1249,saulwick-2003
bunda,,3pl_f_s,3rd Person Plural Feminine,23149,,,,remb1249,saulwick-2003
bunda,,3pl_f_o,3rd Person Plural Feminine,23150,,,,remb1249,saulwick-2003
-barə,,3pl_f_p,3rd Person Plural Feminine,23151,,,,remb1249,saulwick-2003
bunda,,3pl_n_a,3rd Person Plural Neuter,23152,,,,remb1249,saulwick-2003
bunda,,3pl_n_s,3rd Person Plural Neuter,23153,,,,remb1249,saulwick-2003
bunda,,3pl_n_o,3rd Person Plural Neuter,23154,,,,remb1249,saulwick-2003
-barə,,3pl_n_p,3rd Person Plural Neuter,23155,,,,remb1249,saulwick-2003
bundapparaʔ,,3d-a,3rd Person Dual,36236,,,,remb1249,saulwick-2003
bundapparaʔ,,3d-s,3rd Person Dual,36456,,,,remb1249,saulwick-2003
bundapparaʔ,,3d-o,3rd Person Dual,36684,,,,remb1249,saulwick-2003
-barpparaʔ,,3d-p,3rd Person Dual,36907,,,,remb1249,saulwick-2003
bunda,,3p-a,3rd Person Plural,37116,,,,remb1249,saulwick-2003
bunda,,3p-s,3rd Person Plural,37337,,,,remb1249,saulwick-2003
bunda,,3p-o,3rd Person Plural,37564,,,,remb1249,saulwick-2003
-barə,,3p-p,3rd Person Plural,37785,,,,remb1249,saulwick-2003
