word,ipa,parameter,description,alternative,comment,translation,glottocode,source
bii,bii,1sg_a,1st singular transitive subject,,,,chin1476,yamakoshi-2011
bii,bii,1sg_s,1st singular intransitive subject,,,,chin1476,yamakoshi-2011
nam,nam,1sg_o,1st singular transitive object,,,,chin1476,yamakoshi-2011
=m(ni),=m(ni),1sg_p,1st singular possessive,,,,chin1476,yamakoshi-2011
maandood,maandood,12du_a,1st dual inclusive transitive subject,,,,chin1476,yamakoshi-2011
maandood,maandood,12du_s,1st dual inclusive intransitive subject,,,,chin1476,yamakoshi-2011
maandood,maandood,12du_o,1st dual inclusive transitive object,,,,chin1476,yamakoshi-2011
=mnai2,=mnai2,12du_p,1st dual inclusive possessive,,,,chin1476,yamakoshi-2011
maandood,maandood,1du_a,1st dual exclusive transitive subject,,,,chin1476,yamakoshi-2011
maandood,maandood,1du_s,1st dual exclusive intransitive subject,,,,chin1476,yamakoshi-2011
maandood,maandood,1du_o,1st dual exclusive transitive object,,,,chin1476,yamakoshi-2011
=mnai2,=mnai2,1du_p,1st dual exclusive possessive,,,,chin1476,yamakoshi-2011
maandood,maandood,12pl_a,1st plural inclusive transitive subject,,,,chin1476,yamakoshi-2011
maandood,maandood,12pl_s,1st plural inclusive intransitive subject,,,,chin1476,yamakoshi-2011
maandood,maandood,12pl_o,1st plural inclusive transitive object,,,,chin1476,yamakoshi-2011
=mnai2,=mnai2,12pl_p,1st plural inclusive possessive,,,,chin1476,yamakoshi-2011
maandood,maandood,1pl_a,1st plural exclusive transitive subject,,,,chin1476,yamakoshi-2011
maandood,maandood,1pl_s,1st plural exclusive intransitive subject,,,,chin1476,yamakoshi-2011
maandood,maandood,1pl_o,1st plural exclusive transitive object,,,,chin1476,yamakoshi-2011
=mnai2,=mnai2,1pl_p,1st plural exclusive possessive,,,,chin1476,yamakoshi-2011
sʲii,sʲii,2sg_a,2nd singular transitive subject,,,,chin1476,yamakoshi-2011
sʲii,sʲii,2sg_s,2nd singular intransitive subject,,,,chin1476,yamakoshi-2011
sʲam,sʲam,2sg_o,2nd singular transitive object,,,,chin1476,yamakoshi-2011
=sʲ(ni),=sʲ(ni),2sg_p,2nd singular possessive,,,,chin1476,yamakoshi-2011
taandood,taandood,2du_a,2nd dual transitive subject,,,,chin1476,yamakoshi-2011
taandood,taandood,2du_s,2nd dual intransitive subject,,,,chin1476,yamakoshi-2011
taandood,taandood,2du_o,2nd dual transitive object,,,,chin1476,yamakoshi-2011
=tnai2,=tnai2,2du_p,2nd dual possessive,,,,chin1476,yamakoshi-2011
taandood,taandood,2pl_a,2nd plural transitive subject,,,,chin1476,yamakoshi-2011
taandood,taandood,2pl_s,2nd plural intransitive subject,,,,chin1476,yamakoshi-2011
taandood,taandood,2pl_o,2nd plural transitive object,,,,chin1476,yamakoshi-2011
=tnai2,=tnai2,2pl_p,2nd plural possessive,,,,chin1476,yamakoshi-2011
tere,tere,3sg_m_a,3rd singular gender1 transitive subject,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tere,tere,3sg_m_s,3rd singular gender1 intransitive subject,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tereen,tereen,3sg_m_o,3rd singular gender1 transitive object,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
=in(i),=in(i),3sg_m_p,3rd singular gender1 possessive,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tere,tere,3sg_f_a,3rd singular gender2 transitive subject,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tere,tere,3sg_f_s,3rd singular gender2 intransitive subject,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tereen,tereen,3sg_f_o,3rd singular gender2 transitive object,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
=in(i),=in(i),3sg_f_p,3rd singular gender2 possessive,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tedeen,tedeen,3d-a,3rd dual transitive subject,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tedeen,tedeen,3d-s,3rd dual intransitive subject,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tede,tede,3d-o,3rd dual transitive object,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
=in(i),=in(i),3d-p,3rd dual possessive,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tedeen,tedeen,3p-a,3rd plural transitive subject,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tedeen,tedeen,3p-s,3rd plural intransitive subject,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
tede,tede,3p-o,3rd plural transitive object,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
=in(i),=in(i),3p-p,3rd plural possessive,,Third person forms are distal demonstratives.,,chin1476,yamakoshi-2011
