word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ne˥,,1sg_a,1st (excl) Person Singular,55970,,,,sout2826,innes-1966
ne˥,,1sg_s,1st (excl) Person Singular,55969,,,,sout2826,innes-1966
mo˥,,1sg_o,1st (excl) Person Singular,55968,,,,sout2826,innes-1966
na˥,,1sg_p,1st (excl) Person Singular,55967,,,,sout2826,innes-1966
a˨,,1du_a,1st (excl) Person Dual,55966,,,,sout2826,innes-1966
a˨,,1du_s,1st (excl) Person Dual,55965,,,,sout2826,innes-1966
a˨mo˦,,1du_o,1st (excl) Person Dual,55964,,,,sout2826,innes-1966
a˨,,1du_p,1st (excl) Person Dual,55963,,,,sout2826,innes-1966
a˨,,1pl_a,1st (excl) Person Plural,55962,,,,sout2826,innes-1966
a˨,,1pl_s,1st (excl) Person Plural,55961,,,,sout2826,innes-1966
a˨mo˦,,1pl_o,1st (excl) Person Plural,55960,,,,sout2826,innes-1966
a˨,,1pl_p,1st (excl) Person Plural,55959,,,,sout2826,innes-1966
a˨,,12du_a,1st (incl) Person Dual,55958,,,,sout2826,innes-1966
a˨,,12du_s,1st (incl) Person Dual,55957,,,,sout2826,innes-1966
a˨mo˦,,12du_o,1st (incl) Person Dual,55956,,,,sout2826,innes-1966
a˨,,12du_p,1st (incl) Person Dual,55955,,,,sout2826,innes-1966
a˨,,12pl_a,1st (incl) Person Plural,55954,,,,sout2826,innes-1966
a˨,,12pl_s,1st (incl) Person Plural,55953,,,,sout2826,innes-1966
a˨mo˦,,12pl_o,1st (incl) Person Plural,55952,,,,sout2826,innes-1966
a˨,,12pl_p,1st (incl) Person Plural,55951,,,,sout2826,innes-1966
Ø,,2sg_a,2nd Person Singular,55950,,zero morpheme,,sout2826,innes-1966
Ø,,2sg_s,2nd Person Singular,55949,,zero morpheme,,sout2826,innes-1966
mo˦,,2sg_o,2nd Person Singular,55948,,,,sout2826,innes-1966
na˨,,2sg_p,2nd Person Singular,55947,,,,sout2826,innes-1966
a˦,,2du_a,2nd Person Dual,55946,,,,sout2826,innes-1966
a˦,,2du_s,2nd Person Dual,55945,,,,sout2826,innes-1966
a˥mo˦,,2du_o,2nd Person Dual,55944,,,,sout2826,innes-1966
a˥,,2du_p,2nd Person Dual,55943,,,,sout2826,innes-1966
a˦,,2pl_a,2nd Person Plural,55942,,,,sout2826,innes-1966
a˦,,2pl_s,2nd Person Plural,55941,,,,sout2826,innes-1966
a˥mo˦,,2pl_o,2nd Person Plural,55940,,,,sout2826,innes-1966
a˥,,2pl_p,2nd Person Plural,55939,,,,sout2826,innes-1966
ə˦,,3sg_m_a,3rd Person Singular Masculine,55938,,,,sout2826,innes-1966
ə˦,,3sg_m_s,3rd Person Singular Masculine,55937,,,,sout2826,innes-1966
nɔ˩,,3sg_m_o,3rd Person Singular Masculine,55936,,,,sout2826,innes-1966
ə˥,,3sg_m_p,3rd Person Singular Masculine,55935,,,,sout2826,innes-1966
ɛ˦,,3sg_n_a,3rd Person Singular Neuter,55934,,,,sout2826,innes-1966
ɛ˦,,3sg_n_s,3rd Person Singular Neuter,55933,,,,sout2826,innes-1966
nɛ˩,,3sg_n_o,3rd Person Singular Neuter,55932,,,,sout2826,innes-1966
ɛ˥,,3sg_n_p,3rd Person Singular Neuter,55931,,,,sout2826,innes-1966
o˦,,3d-a,3rd Person Dual,55930,,,,sout2826,innes-1966
o˦,,3d-s,3rd Person Dual,55929,,,,sout2826,innes-1966
no˩,,3d-o,3rd Person Dual,55928,,,,sout2826,innes-1966
o˥,,3d-p,3rd Person Dual,55927,,,,sout2826,innes-1966
o˦,,3p-a,3rd Person Plural,55926,,,,sout2826,innes-1966
o˦,,3p-s,3rd Person Plural,55925,,,,sout2826,innes-1966
no˩,,3p-o,3rd Person Plural,55924,,,,sout2826,innes-1966
o˥,,3p-p,3rd Person Plural,55923,,,,sout2826,innes-1966
