word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ŋən,,1sg_a,1st (excl) Person Singular,22578,,,,tame1238,philip-tama-2013
ŋən,,1sg_s,1st (excl) Person Singular,22579,,,,tame1238,philip-tama-2013
ŋənem,,1sg_o,1st (excl) Person Singular,22580,,,,tame1238,philip-tama-2013
ŋəmo,,1sg_p,1st (excl) Person Singular,22581,,,,tame1238,philip-tama-2013
ŋəmi,,1du_a,1st (excl) Person Dual,22582,,,,tame1238,philip-tama-2013
ŋəmi,,1du_s,1st (excl) Person Dual,22583,,,,tame1238,philip-tama-2013
ŋəmim,,1du_o,1st (excl) Person Dual,22584,,,,tame1238,philip-tama-2013
ŋəma,,1du_p,1st (excl) Person Dual,22585,,,,tame1238,philip-tama-2013
ŋəmi,,1pl_a,1st (excl) Person Plural,22586,,,,tame1238,philip-tama-2013
ŋəmi,,1pl_s,1st (excl) Person Plural,22587,,,,tame1238,philip-tama-2013
ŋəmim,,1pl_o,1st (excl) Person Plural,22588,,,,tame1238,philip-tama-2013
ŋəma,,1pl_p,1st (excl) Person Plural,22589,,,,tame1238,philip-tama-2013
yəbi,,12du_a,1st (incl) Person Dual,22590,,,,tame1238,philip-tama-2013
yəbi,,12du_s,1st (incl) Person Dual,22591,,,,tame1238,philip-tama-2013
yəbim,,12du_o,1st (incl) Person Dual,22592,,,,tame1238,philip-tama-2013
yəba,,12du_p,1st (incl) Person Dual,22593,,,,tame1238,philip-tama-2013
yəbi,,12pl_a,1st (incl) Person Plural,22594,,,,tame1238,philip-tama-2013
yəbi,,12pl_s,1st (incl) Person Plural,22595,,,,tame1238,philip-tama-2013
yəbim,,12pl_o,1st (incl) Person Plural,22596,,,,tame1238,philip-tama-2013
yəba,,12pl_p,1st (incl) Person Plural,22597,,,,tame1238,philip-tama-2013
bä,,2sg_a,2nd Person Singular,22598,,,,tame1238,philip-tama-2013
bä,,2sg_s,2nd Person Singular,22599,,,,tame1238,philip-tama-2013
babom,,2sg_o,2nd Person Singular,22600,,,,tame1238,philip-tama-2013
bəna,,2sg_p,2nd Person Singular,22601,,,,tame1238,philip-tama-2013
bä,,2du_a,2nd Person Dual,22602,,,,tame1238,philip-tama-2013
bä,,2du_s,2nd Person Dual,22603,,,,tame1238,philip-tama-2013
bibim,,2du_o,2nd Person Dual,22604,,,,tame1238,philip-tama-2013
bəna,,2du_p,2nd Person Dual,22605,,,,tame1238,philip-tama-2013
bä,,2pl_a,2nd Person Plural,22606,,,,tame1238,philip-tama-2013
bä,,2pl_s,2nd Person Plural,22607,,,,tame1238,philip-tama-2013
