word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ah ;;1sg_a;1st (excl) Person Singular;44870;;;;wapp1239;thompson-et-al-2006
ah ;;1sg_s;1st (excl) Person Singular;44869;;;;wapp1239;thompson-et-al-2006
i;;1sg_o;1st (excl) Person Singular;44868;;;;wapp1239;thompson-et-al-2006
imeʔ ;;1sg_p;1st (excl) Person Singular;44867;;;;wapp1239;thompson-et-al-2006
isi;;1du_a;1st (excl) Person Dual;44866;;;;wapp1239;thompson-et-al-2006
isi;;1du_s;1st (excl) Person Dual;44865;;;;wapp1239;thompson-et-al-2006
isa ;;1du_o;1st (excl) Person Dual;44864;;;;wapp1239;thompson-et-al-2006
isameʔ ;;1du_p;1st (excl) Person Dual;44863;;;;wapp1239;thompson-et-al-2006
isi;;1pl_a;1st (excl) Person Plural;44862;;;;wapp1239;thompson-et-al-2006
isi;;1pl_s;1st (excl) Person Plural;44861;;;;wapp1239;thompson-et-al-2006
isa ;;1pl_o;1st (excl) Person Plural;44860;;;;wapp1239;thompson-et-al-2006
isameʔ ;;1pl_p;1st (excl) Person Plural;44859;;;;wapp1239;thompson-et-al-2006
isi;;12du_a;1st (incl) Person Dual;44858;;;;wapp1239;thompson-et-al-2006
isi;;12du_s;1st (incl) Person Dual;44857;;;;wapp1239;thompson-et-al-2006
isa ;;12du_o;1st (incl) Person Dual;44856;;;;wapp1239;thompson-et-al-2006
isameʔ ;;12du_p;1st (incl) Person Dual;44855;;;;wapp1239;thompson-et-al-2006
isi;;12pl_a;1st (incl) Person Plural;44854;;;;wapp1239;thompson-et-al-2006
isi;;12pl_s;1st (incl) Person Plural;44853;;;;wapp1239;thompson-et-al-2006
isa ;;12pl_o;1st (incl) Person Plural;44852;;;;wapp1239;thompson-et-al-2006
isameʔ ;;12pl_p;1st (incl) Person Plural;44851;;;;wapp1239;thompson-et-al-2006
miʔ;;2sg_a;2nd Person Singular;44850;;;;wapp1239;thompson-et-al-2006
miʔ;;2sg_s;2nd Person Singular;44849;;;;wapp1239;thompson-et-al-2006
mi ;;2sg_o;2nd Person Singular;44848;;;;wapp1239;thompson-et-al-2006
mimeʔ ;;2sg_p;2nd Person Singular;44847;;;;wapp1239;thompson-et-al-2006
misi ;;2du_a;2nd Person Dual;44846;;;;wapp1239;thompson-et-al-2006
misi ;;2du_s;2nd Person Dual;44845;;;;wapp1239;thompson-et-al-2006
misa ;;2du_o;2nd Person Dual;44844;;;;wapp1239;thompson-et-al-2006
misameʔ ;;2du_p;2nd Person Dual;44843;;;;wapp1239;thompson-et-al-2006
misi ;;2pl_a;2nd Person Plural;44842;;;;wapp1239;thompson-et-al-2006
misi ;;2pl_s;2nd Person Plural;44841;;;;wapp1239;thompson-et-al-2006
misa ;;2pl_o;2nd Person Plural;44840;;;;wapp1239;thompson-et-al-2006
misameʔ ;;2pl_p;2nd Person Plural;44839;;;;wapp1239;thompson-et-al-2006
cepʰi ;;3sg_m_a;3rd Person Singular Masculine;44838;;‘cepʰi’ is in fact the distal form, the proximal form is ‘hepʰi’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
cepʰi ;;3sg_m_s;3rd Person Singular Masculine;44837;;‘cepʰi’ is in fact the distal form, the proximal form is ‘hepʰi’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
te ;;3sg_m_o;3rd Person Singular Masculine;44836;;;;wapp1239;thompson-et-al-2006
temeʔ ;;3sg_m_p;3rd Person Singular Masculine;44835;;;;wapp1239;thompson-et-al-2006
cepʰi ;;3sg_n_a;3rd Person Singular Neuter;44834;;‘cepʰi’ is in fact the distal form, the proximal form is ‘hepʰi’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
cepʰi ;;3sg_n_s;3rd Person Singular Neuter;44833;;‘cepʰi’ is in fact the distal form, the proximal form is ‘hepʰi’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
te ;;3sg_n_o;3rd Person Singular Neuter;44832;;;;wapp1239;thompson-et-al-2006
temeʔ ;;3sg_n_p;3rd Person Singular Neuter;44831;;;;wapp1239;thompson-et-al-2006
cekoːti ;;3d-a;3rd Person Dual;44830;;‘cekoːti’ is in fact the distal form, the proximal form is ‘hekoːti’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
cekoːti ;;3d-s;3rd Person Dual;44829;;‘cekoːti’ is in fact the distal form, the proximal form is ‘hekoːti’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
cekoːto ;;3d-o;3rd Person Dual;44828;;‘cekoːto’ is in fact the distal form, the proximal form is ‘hekoːto’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
cekoːtomeʔ ;;3d-p;3rd Person Dual;44827;;‘cekoːtomeʔ’ is in fact the distal form, the proximal form is ‘hekoːtomeʔ’ (Thompson, Park and, Li 2006:25);;wapp1239;thompson-et-al-2006
cekoːti ;;3p-a;3rd Person Plural;44826;;‘cekoːti’ is in fact the distal form, the proximal form is ‘hekoːti’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
cekoːti ;;3p-s;3rd Person Plural;44825;;‘cekoːti’ is in fact the distal form, the proximal form is ‘hekoːti’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
cekoːto ;;3p-o;3rd Person Plural;44824;;‘cekoːto’ is in fact the distal form, the proximal form is ‘hekoːto’ (Thompson, Park and, Li 2006:25).;;wapp1239;thompson-et-al-2006
cekoːtomeʔ ;;3p-p;3rd Person Plural;44823;;‘cekoːtomeʔ’ is in fact the distal form, the proximal form is ‘hekoːtomeʔ’ (Thompson, Park and, Li 2006:25);;wapp1239;thompson-et-al-2006
