word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
kon,,1sg_a,1st (excl) Person Singular,42618,,,,wipi1242,dondorp-and-shim-1997
kon,,1sg_s,1st (excl) Person Singular,42617,,,,wipi1242,dondorp-and-shim-1997
ken,,1sg_o,1st (excl) Person Singular,42616,,,,wipi1242,dondorp-and-shim-1997
koina,,1sg_p,1st (excl) Person Singular,42615,,,,wipi1242,dondorp-and-shim-1997
sön,,1du_a,1st (excl) Person Dual,42614,,,,wipi1242,dondorp-and-shim-1997
sön,,1du_s,1st (excl) Person Dual,42613,,,,wipi1242,dondorp-and-shim-1997
sön,,1du_o,1st (excl) Person Dual,42612,,,,wipi1242,dondorp-and-shim-1997
suaina,,1du_p,1st (excl) Person Dual,42611,,,,wipi1242,dondorp-and-shim-1997
sön,,1pl_a,1st (excl) Person Plural,42610,,,,wipi1242,dondorp-and-shim-1997
sön,,1pl_s,1st (excl) Person Plural,42609,,,,wipi1242,dondorp-and-shim-1997
sön,,1pl_o,1st (excl) Person Plural,42608,,,,wipi1242,dondorp-and-shim-1997
suaina,,1pl_p,1st (excl) Person Plural,42607,,,,wipi1242,dondorp-and-shim-1997
men,,12du_a,1st (incl) Person Dual,42606,,,,wipi1242,dondorp-and-shim-1997
men,,12du_s,1st (incl) Person Dual,42605,,,,wipi1242,dondorp-and-shim-1997
men,,12du_o,1st (incl) Person Dual,42604,,,,wipi1242,dondorp-and-shim-1997
meraina,,12du_p,1st (incl) Person Dual,42603,,,,wipi1242,dondorp-and-shim-1997
men,,12pl_a,1st (incl) Person Plural,42602,,,,wipi1242,dondorp-and-shim-1997
men,,12pl_s,1st (incl) Person Plural,42601,,,,wipi1242,dondorp-and-shim-1997
men,,12pl_o,1st (incl) Person Plural,42600,,,,wipi1242,dondorp-and-shim-1997
meraina,,12pl_p,1st (incl) Person Plural,42599,,,,wipi1242,dondorp-and-shim-1997
man,,2sg_a,2nd Person Singular,42598,,,,wipi1242,dondorp-and-shim-1997
man,,2sg_s,2nd Person Singular,42597,,,,wipi1242,dondorp-and-shim-1997
men,,2sg_o,2nd Person Singular,42596,,,,wipi1242,dondorp-and-shim-1997
moina,,2sg_p,2nd Person Singular,42595,,,,wipi1242,dondorp-and-shim-1997
wön,,2du_a,2nd Person Dual,42594,,,,wipi1242,dondorp-and-shim-1997
wön,,2du_s,2nd Person Dual,42593,,,,wipi1242,dondorp-and-shim-1997
wen,,2du_o,2nd Person Dual,42592,,,,wipi1242,dondorp-and-shim-1997
waina,,2du_p,2nd Person Dual,42591,,,,wipi1242,dondorp-and-shim-1997
wön,,2pl_a,2nd Person Plural,42590,,,,wipi1242,dondorp-and-shim-1997
wön,,2pl_s,2nd Person Plural,42589,,,,wipi1242,dondorp-and-shim-1997
wen,,2pl_o,2nd Person Plural,42588,,,,wipi1242,dondorp-and-shim-1997
waina,,2pl_p,2nd Person Plural,42587,,,,wipi1242,dondorp-and-shim-1997
ton,,3sg_m_a,3rd Person Singular Masculine,42586,,,,wipi1242,dondorp-and-shim-1997
ton,,3sg_m_s,3rd Person Singular Masculine,42585,,,,wipi1242,dondorp-and-shim-1997
tin,,3sg_m_o,3rd Person Singular Masculine,42584,,,,wipi1242,dondorp-and-shim-1997
tiina,,3sg_m_p,3rd Person Singular Masculine,42583,,,,wipi1242,dondorp-and-shim-1997
ton,,3sg_n_a,3rd Person Singular Neuter,42582,,,,wipi1242,dondorp-and-shim-1997
ton,,3sg_n_s,3rd Person Singular Neuter,42581,,,,wipi1242,dondorp-and-shim-1997
tin,,3sg_n_o,3rd Person Singular Neuter,42580,,,,wipi1242,dondorp-and-shim-1997
tiina,,3sg_n_p,3rd Person Singular Neuter,42579,,,,wipi1242,dondorp-and-shim-1997
ton,,3d-a,3rd Person Dual,42578,,,,wipi1242,dondorp-and-shim-1997
ton,,3d-s,3rd Person Dual,42577,,,,wipi1242,dondorp-and-shim-1997
ten,,3d-o,3rd Person Dual,42576,,,,wipi1242,dondorp-and-shim-1997
tuaina,,3d-p,3rd Person Dual,42575,,,,wipi1242,dondorp-and-shim-1997
ton,,3p-a,3rd Person Plural,42574,,,,wipi1242,dondorp-and-shim-1997
ton,,3p-s,3rd Person Plural,42573,,,,wipi1242,dondorp-and-shim-1997
ten,,3p-o,3rd Person Plural,42572,,,,wipi1242,dondorp-and-shim-1997
tuaina,,3p-p,3rd Person Plural,42571,,,,wipi1242,dondorp-and-shim-1997
