word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ŋad̡uŋgu;;1sg_a;1st (excl) Person Singular;24976;;;;jaru1254;tsunoda-1981
ŋad̡u;;1sg_s;1st (excl) Person Singular;24977;;;;jaru1254;tsunoda-1981
ŋad̡u;;1sg_o;1st (excl) Person Singular;24978;;;;jaru1254;tsunoda-1981
ŋaniŋa;;1sg_p;1st (excl) Person Singular;24979;;;;jaru1254;tsunoda-1981
ŋad̡aralu;;1du_a;1st (excl) Person Dual;24980;;;;jaru1254;tsunoda-1981
ŋad̡ara;;1du_s;1st (excl) Person Dual;24981;;;;jaru1254;tsunoda-1981
ŋad̡ara;;1du_o;1st (excl) Person Dual;24982;;;;jaru1254;tsunoda-1981
ŋad̡araŋa;;1du_p;1st (excl) Person Dual;24983;;;;jaru1254;tsunoda-1981
ŋanambalu;;1pl_a;1st (excl) Person Plural;24984;;;;jaru1254;tsunoda-1981
ŋaninba;;1pl_s;1st (excl) Person Plural;24985;;;;jaru1254;tsunoda-1981
ŋaninba;;1pl_o;1st (excl) Person Plural;24986;;;;jaru1254;tsunoda-1981
ŋanimbaŋa;;1pl_p;1st (excl) Person Plural;24987;;;;jaru1254;tsunoda-1981
ŋaliŋgu;;12du_a;1st (incl) Person Dual;24988;;;;jaru1254;tsunoda-1981
ŋali;;12du_s;1st (incl) Person Dual;24989;;;;jaru1254;tsunoda-1981
ŋali;;12du_o;1st (incl) Person Dual;24990;;;;jaru1254;tsunoda-1981
ŋaliŋa;;12du_p;1st (incl) Person Dual;24991;;;;jaru1254;tsunoda-1981
ŋalibalu;;12pl_a;1st (incl) Person Plural;24992;;;;jaru1254;tsunoda-1981
ŋaliba;;12pl_s;1st (incl) Person Plural;24993;;;;jaru1254;tsunoda-1981
ŋaliba;;12pl_o;1st (incl) Person Plural;24994;;;;jaru1254;tsunoda-1981
ŋalibaŋa;;12pl_p;1st (incl) Person Plural;24995;;;;jaru1254;tsunoda-1981
ñundugu;;2sg_a;2nd Person Singular;24996;;;;jaru1254;tsunoda-1981
ñundu;;2sg_s;2nd Person Singular;24997;;;;jaru1254;tsunoda-1981
ñundu;;2sg_o;2nd Person Singular;24998;;;;jaru1254;tsunoda-1981
ñunuŋu;;2sg_p;2nd Person Singular;24999;;;;jaru1254;tsunoda-1981
ñunbulalu;;2du_a;2nd Person Dual;25000;;;;jaru1254;tsunoda-1981
ñunbula;;2du_s;2nd Person Dual;25001;;;;jaru1254;tsunoda-1981
ñunbula;;2du_o;2nd Person Dual;25002;;;;jaru1254;tsunoda-1981
ñunbulaŋa;;2du_p;2nd Person Dual;25003;;;;jaru1254;tsunoda-1981
ñuraalu;;2pl_a;2nd Person Plural;25004;;;;jaru1254;tsunoda-1981
ñuraa;;2pl_s;2nd Person Plural;25005;;;;jaru1254;tsunoda-1981
ñuraa;;2pl_o;2nd Person Plural;25006;;;;jaru1254;tsunoda-1981
ñuraaŋa;;2pl_p;2nd Person Plural;25007;;;;jaru1254;tsunoda-1981
ñandugu;;3sg_m_a;3rd Person Singular Masculine;25008;;;;jaru1254;tsunoda-1981
ñandu;;3sg_m_s;3rd Person Singular Masculine;25009;;;;jaru1254;tsunoda-1981
ñanuŋa;;3sg_m_o;3rd Person Singular Masculine;25010;;;;jaru1254;tsunoda-1981
ñunbulaŋa;;3sg_m_p;3rd Person Singular Masculine;25011;;;;jaru1254;tsunoda-1981
ñandugu;;3sg_f_a;3rd Person Singular Feminine;25012;;;;jaru1254;tsunoda-1981
ñandu;;3sg_f_s;3rd Person Singular Feminine;25013;;;;jaru1254;tsunoda-1981
ñandu;;3sg_f_o;3rd Person Singular Feminine;25014;;;;jaru1254;tsunoda-1981
ñandugu;;3sg_f_p;3rd Person Singular Feminine;25015;;;;jaru1254;tsunoda-1981
ñandugu;;3sg_n_a;3rd Person Singular Neuter;25016;;;;jaru1254;tsunoda-1981
ñandu;;3sg_n_s;3rd Person Singular Neuter;25017;;;;jaru1254;tsunoda-1981
ñanuŋa;;3sg_n_o;3rd Person Singular Neuter;25018;;;;jaru1254;tsunoda-1981
ñandugu;;3sg_n_p;3rd Person Singular Neuter;25019;;;;jaru1254;tsunoda-1981
ñanbulalu;;3du_m_a;3rd Person Dual Masculine;25020;;;;jaru1254;tsunoda-1981
ñanbula;;3du_m_s;3rd Person Dual Masculine;25021;;;;jaru1254;tsunoda-1981
ñanbula;;3du_m_o;3rd Person Dual Masculine;25022;;;;jaru1254;tsunoda-1981
ñanbulalu;;3du_m_p;3rd Person Dual Masculine;25023;;;;jaru1254;tsunoda-1981
ñanbulalu;;3du_f_a;3rd Person Dual Feminine;25024;;;;jaru1254;tsunoda-1981
ñanbula;;3du_f_s;3rd Person Dual Feminine;25025;;;;jaru1254;tsunoda-1981
ñanbula;;3du_f_o;3rd Person Dual Feminine;25026;;;;jaru1254;tsunoda-1981
ñanbulalu;;3du_f_p;3rd Person Dual Feminine;25027;;;;jaru1254;tsunoda-1981
ñanbulalu;;3du_n_a;3rd Person Dual Neuter;25028;;;;jaru1254;tsunoda-1981
ñanbula;;3du_n_s;3rd Person Dual Neuter;25029;;;;jaru1254;tsunoda-1981
ñanbula;;3du_n_o;3rd Person Dual Neuter;25030;;;;jaru1254;tsunoda-1981
ñanbulalu;;3du_n_p;3rd Person Dual Neuter;25031;;;;jaru1254;tsunoda-1981
ñandugu;;3pl_m_a;3rd Person Plural Masculine;25032;;;;jaru1254;tsunoda-1981
ñandu;;3pl_m_s;3rd Person Plural Masculine;25033;;;;jaru1254;tsunoda-1981
ñandu;;3pl_m_o;3rd Person Plural Masculine;25034;;;;jaru1254;tsunoda-1981
ñandugu;;3pl_m_p;3rd Person Plural Masculine;25035;;;;jaru1254;tsunoda-1981
ñandugu;;3pl_f_a;3rd Person Plural Feminine;25036;;;;jaru1254;tsunoda-1981
ñandu;;3pl_f_s;3rd Person Plural Feminine;25037;;;;jaru1254;tsunoda-1981
ñandu;;3pl_f_o;3rd Person Plural Feminine;25038;;;;jaru1254;tsunoda-1981
ñandugu;;3pl_f_p;3rd Person Plural Feminine;25039;;;;jaru1254;tsunoda-1981
ñandugu;;3pl_n_a;3rd Person Plural Neuter;25040;;;;jaru1254;tsunoda-1981
ñandu;;3pl_n_s;3rd Person Plural Neuter;25041;;;;jaru1254;tsunoda-1981
ñandu;;3pl_n_o;3rd Person Plural Neuter;25042;;;;jaru1254;tsunoda-1981
ñandugu;;3pl_n_p;3rd Person Plural Neuter;25043;;;;jaru1254;tsunoda-1981
ñanbulalu;;3d-a;3rd Person Dual;36337;;;;jaru1254;tsunoda-1981
ñanbula;;3d-s;3rd Person Dual;36564;;;;jaru1254;tsunoda-1981
ñanbula;;3d-o;3rd Person Dual;36790;;;;jaru1254;tsunoda-1981
ñanbulalu;;3d-p;3rd Person Dual;37000;;;;jaru1254;tsunoda-1981
ñandugu;;3p-a;3rd Person Plural;37219;;;;jaru1254;tsunoda-1981
ñandu;;3p-s;3rd Person Plural;37445;;;;jaru1254;tsunoda-1981
ñanuŋa;;3p-o;3rd Person Plural;37670;;;;jaru1254;tsunoda-1981
ñandugu;;3p-p;3rd Person Plural;37879;;;;jaru1254;tsunoda-1981
