word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
yeti,,1sg_a,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
yeti,,1sg_s,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
yenin,,1sg_o,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
yanda,,1sg_a,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
yanda,,1sg_s,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
yandin,,1sg_o,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
yenayu,,1sg_p,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
ŋula,,2du_s,2nd Person Dual,,,,,madh1244,blake-et-al-2011
pulin,,2pl_o,2nd Person Plural,,,,,madh1244,blake-et-al-2011
ŋunði,,3sg_f_a,3rd Person Singular Feminine,,,,,madh1244,blake-et-al-2011
ŋunði,,3sg_f_s,3rd Person Singular Feminine,,,,,madh1244,blake-et-al-2011
ŋukayu,,3sg_f_p,3rd Person Singular Feminine,,,,,madh1244,blake-et-al-2011
θana,,3du_m_a,3rd Person Dual Masculine,,,,,madh1244,blake-et-al-2011
θana,,3du_m_s,3rd Person Dual Masculine,,,,,madh1244,blake-et-al-2011
θanin,,3du_m_o,3rd Person Dual Masculine,,,,,madh1244,blake-et-al-2011
θanaθu,,3du_m_p,3rd Person Dual Masculine,,,,,madh1244,blake-et-al-2011
θana,,3du_f_a,3rd Person Dual Feminine,,,,,madh1244,blake-et-al-2011
θana,,3du_f_s,3rd Person Dual Feminine,,,,,madh1244,blake-et-al-2011
θanin,,3du_f_o,3rd Person Dual Feminine,,,,,madh1244,blake-et-al-2011
θanaθu,,3du_f_p,3rd Person Dual Feminine,,,,,madh1244,blake-et-al-2011
θana,,3du_n_a,3rd Person Dual Neuter,,,,,madh1244,blake-et-al-2011
θana,,3du_n_s,3rd Person Dual Neuter,,,,,madh1244,blake-et-al-2011
θanin,,3du_n_o,3rd Person Dual Neuter,,,,,madh1244,blake-et-al-2011
θanaθu,,3du_n_p,3rd Person Dual Neuter,,,,,madh1244,blake-et-al-2011
θana,,3pl_m_a,3rd Person Plural Masculine,,,,,madh1244,blake-et-al-2011
θana,,3pl_m_s,3rd Person Plural Masculine,,,,,madh1244,blake-et-al-2011
θanin,,3pl_m_o,3rd Person Plural Masculine,,,,,madh1244,blake-et-al-2011
θanaθu,,3pl_m_p,3rd Person Plural Masculine,,,,,madh1244,blake-et-al-2011
θana,,3pl_f_a,3rd Person Plural Feminine,,,,,madh1244,blake-et-al-2011
θana,,3pl_f_s,3rd Person Plural Feminine,,,,,madh1244,blake-et-al-2011
θanin,,3pl_f_o,3rd Person Plural Feminine,,,,,madh1244,blake-et-al-2011
θanaθu,,3pl_f_p,3rd Person Plural Feminine,,,,,madh1244,blake-et-al-2011
θana,,3pl_n_a,3rd Person Plural Neuter,,,,,madh1244,blake-et-al-2011
θana,,3pl_n_s,3rd Person Plural Neuter,,,,,madh1244,blake-et-al-2011
θanin,,3pl_n_o,3rd Person Plural Neuter,,,,,madh1244,blake-et-al-2011
θanaθu,,3pl_n_p,3rd Person Plural Neuter,,,,,madh1244,blake-et-al-2011
nhunhi,,3sg_n_o,3rd Person Singular Neuter,,,,,madh1244,blake-et-al-2011
nhunhi,,3sg_n_s,3rd Person Singular Neuter,,,,,madh1244,blake-et-al-2011
nhunhang,,3sg_n_a,3rd Person Singular Neuter,,,,,madh1244,blake-et-al-2011
nhuli,,3sg_m_o,3rd Person Singular Masculine,,,,,madh1244,blake-et-al-2011
nhuli,,3sg_m_s,3rd Person Singular Masculine,,,,,madh1244,blake-et-al-2011
nhulang,,3sg_m_a,3rd Person Singular Masculine,,,,,madh1244,blake-et-al-2011
ngunethu,,2pl_p,2nd Person Plural,,,,,madh1244,blake-et-al-2011
ngunan,,2pl_o,2nd Person Plural,,,,,madh1244,blake-et-al-2011
nginethu,,2sg_p,2nd Person Singular,,,,,madh1244,blake-et-al-2011
nginan,,2sg_o,2nd Person Singular,,,,,madh1244,blake-et-al-2011
ngindi,,2sg_s,2nd Person Singular,,,,,madh1244,blake-et-al-2011
ngindi,,2sg_a,2nd Person Singular,,,,,madh1244,blake-et-al-2011
yangurr,,12pl_o,1st (incl) Person Plural,,,,,madh1244,blake-et-al-2011
ngalithu,,12du_p,1st (incl) Person Dual,,,,,madh1244,blake-et-al-2011
ngalin,,12du_o,1st (incl) Person Dual,,,,,madh1244,blake-et-al-2011
ngali,,12du_s,1st (incl) Person Dual,,,,,madh1244,blake-et-al-2011
ngali,,12du_a,1st (incl) Person Dual,,,,,madh1244,blake-et-al-2011
yinathu,,1pl_p,1st (excl) Person Plural,,,,,madh1244,blake-et-al-2011
ngalathu,,1du_p,1st (excl) Person Dual,,,,,madh1244,blake-et-al-2011
ngalan,,1du_o,1st (excl) Person Dual,,,,,madh1244,blake-et-al-2011
ngali,,1du_s,1st (excl) Person Dual,,,,,madh1244,blake-et-al-2011
ngali,,1du_a,1st (excl) Person Dual,,,,,madh1244,blake-et-al-2011
yinathu,,1sg_p,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
yinan,,1sg_o,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
yiti,,1sg_s,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
yiti,,1sg_a,1st (excl) Person Singular,,,,,madh1244,blake-et-al-2011
