word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ngathu,,1sg_a,1st (excl) Person Singular,25451,,,,muru1266,oates-1988
ngathu,,1sg_s,1st (excl) Person Singular,25452,,,,muru1266,oates-1988
nganha,,1sg_o,1st (excl) Person Singular,25453,,,,muru1266,oates-1988
nganthi,,1sg_p,1st (excl) Person Singular,25454,,,,muru1266,oates-1988
ngali,,1du_a,1st (excl) Person Dual,25455,,,,muru1266,oates-1988
ngali,,1du_s,1st (excl) Person Dual,25456,,,,muru1266,oates-1988
ngalina,,1du_o,1st (excl) Person Dual,25457,,,,muru1266,oates-1988
ngalika,,1du_p,1st (excl) Person Dual,25458,,,,muru1266,oates-1988
ngana,,1pl_a,1st (excl) Person Plural,25459,,,,muru1266,oates-1988
ngana,,1pl_s,1st (excl) Person Plural,25460,,,,muru1266,oates-1988
ngarrana,,1pl_o,1st (excl) Person Plural,25461,,,,muru1266,oates-1988
ngarraka,,1pl_p,1st (excl) Person Plural,25462,,,,muru1266,oates-1988
ngali,,12du_a,1st (incl) Person Dual,25463,,,,muru1266,oates-1988
ngali,,12du_s,1st (incl) Person Dual,25464,,,,muru1266,oates-1988
ngalina,,12du_o,1st (incl) Person Dual,25465,,,,muru1266,oates-1988
ngalika,,12du_p,1st (incl) Person Dual,25466,,,,muru1266,oates-1988
ngana,,12pl_a,1st (incl) Person Plural,25467,,,,muru1266,oates-1988
ngana,,12pl_s,1st (incl) Person Plural,25468,,,,muru1266,oates-1988
ngarrana,,12pl_o,1st (incl) Person Plural,25469,,,,muru1266,oates-1988
ngarraka,,12pl_p,1st (incl) Person Plural,25470,,,,muru1266,oates-1988
"yintu, ngintu",,2sg_a,2nd Person Singular,25471,,,,muru1266,oates-1988
"yintu, ngintu",,2sg_s,2nd Person Singular,25472,,,,muru1266,oates-1988
"panga, punga",,2sg_o,2nd Person Singular,25473,,,,muru1266,oates-1988
"yingka, pungka, pangka",,2sg_p,2nd Person Singular,25474,,,,muru1266,oates-1988
nhula,,2du_a,2nd Person Dual,25475,,,,muru1266,oates-1988
nhula,,2du_s,2nd Person Dual,25476,,,,muru1266,oates-1988
nhulana,,2du_o,2nd Person Dual,25477,,,,muru1266,oates-1988
nhuraka,,2du_p,2nd Person Dual,25478,,,,muru1266,oates-1988
nhura,,2pl_a,2nd Person Plural,25479,,,,muru1266,oates-1988
nhura,,2pl_s,2nd Person Plural,25480,,,,muru1266,oates-1988
nhurana,,2pl_o,2nd Person Plural,25481,,,,muru1266,oates-1988
nhuraka,,2pl_p,2nd Person Plural,25482,,,,muru1266,oates-1988
"nhumpa, nhampu",,3sg_m_a,3rd Person Singular Masculine,25483,,,,muru1266,oates-1988
"nhumpa, nhampu",,3sg_m_s,3rd Person Singular Masculine,25484,,,,muru1266,oates-1988
punha,,3sg_m_o,3rd Person Singular Masculine,25485,,,,muru1266,oates-1988
puka,,3sg_m_p,3rd Person Singular Masculine,25486,,,,muru1266,oates-1988
ṋumpa,,3sg_f_a,3rd Person Singular Feminine,25487,,,,muru1266,oates-1988
ṋumpa,,3sg_f_s,3rd Person Singular Feminine,25488,,,,muru1266,oates-1988
puṋa,,3sg_f_o,3rd Person Singular Feminine,25489,,,,muru1266,oates-1988
puka,,3sg_f_p,3rd Person Singular Feminine,25490,,,,muru1266,oates-1988
"nhumpa, nhampu",,3sg_n_a,3rd Person Singular Neuter,25491,,,,muru1266,oates-1988
"nhumpa, nhampu",,3sg_n_s,3rd Person Singular Neuter,25492,,,,muru1266,oates-1988
punha,,3sg_n_o,3rd Person Singular Neuter,25493,,,,muru1266,oates-1988
puka,,3sg_n_p,3rd Person Singular Neuter,25494,,,,muru1266,oates-1988
pula,,3du_m_a,3rd Person Dual Masculine,25495,,,,muru1266,oates-1988
pula,,3du_m_s,3rd Person Dual Masculine,25496,,,,muru1266,oates-1988
pulana,,3du_m_o,3rd Person Dual Masculine,25497,,,,muru1266,oates-1988
ṋuraka,,3du_m_p,3rd Person Dual Masculine,25498,,,,muru1266,oates-1988
pula,,3du_f_a,3rd Person Dual Feminine,25499,,,,muru1266,oates-1988
pula,,3du_f_s,3rd Person Dual Feminine,25500,,,,muru1266,oates-1988
pulana,,3du_f_o,3rd Person Dual Feminine,25501,,,,muru1266,oates-1988
ṋuraka,,3du_f_p,3rd Person Dual Feminine,25502,,,,muru1266,oates-1988
