word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
gulangga,,1sg_a,1st singular transitive subject,,,,,ngun1277,baird2019
gulangga,,1sg_s,1st singular intransitive subject,,,,,ngun1277,baird2019
gulangga,,1sg_o,1st singular transitive object,,,"Pronouns in Ngunnawal can be inflected for case. However, there are no examples of accusatively marked free pronouns in the currently available data on the language. Therefore the nominative form has also been entered in O function.",,ngun1277,baird2019
gulanggaya,,1sg_p,1st singular possessive,,,,,ngun1277,baird2019
gulanga,,12du_a,1st dual inclusive transitive subject,,,,,ngun1277,baird2019
gulanga,,12du_s,1st dual inclusive intransitive subject,,,,,ngun1277,baird2019
gulanga,,12du_o,1st dual inclusive transitive object,,,,,ngun1277,baird2019
gulangada,,12du_p,1st dual inclusive possessive,,,,,ngun1277,baird2019
gulangalu,,1du_a,1st dual exclusive transitive subject,,,,,ngun1277,baird2019
gulangalu,,1du_s,1st dual exclusive intransitive subject,,,,,ngun1277,baird2019
gulangalu,,1du_o,1st dual exclusive transitive object,,,,,ngun1277,baird2019
gulangaluya,,1du_p,1st dual exclusive possessive,,,,,ngun1277,baird2019
gulambununyi,,12pl_a,1st plural inclusive transitive subject,,,,,ngun1277,baird2019
gulambununyi,,12pl_s,1st plural inclusive intransitive subject,,,,,ngun1277,baird2019
gulambununyi,,12pl_o,1st plural inclusive transitive object,,,,,ngun1277,baird2019
gulambunyina,,12pl_p,1st plural inclusive possessive,,,,,ngun1277,baird2019
gulambunyili,,1pl_a,1st plural exclusive transitive subject,,,,,ngun1277,baird2019
gulambunyili,,1pl_s,1st plural exclusive intransitive subject,,,,,ngun1277,baird2019
gulambunyili,,1pl_o,1st plural exclusive transitive object,,,,,ngun1277,baird2019
gulambunyinayina,,1pl_p,1st plural exclusive possessive,,,,,ngun1277,baird2019
gulandji,,2sg_a,2nd singular transitive subject,,,,,ngun1277,baird2019
gulandji,,2sg_s,2nd singular intransitive subject,,,,,ngun1277,baird2019
gulandji,,2sg_o,2nd singular transitive object,,,,,ngun1277,baird2019
gulandji,,2sg_p,2nd singular possessive,,,,,ngun1277,baird2019
gulambu,,2du_a,2nd dual transitive subject,,,,,ngun1277,baird2019
gulambu,,2du_s,2nd dual intransitive subject,,,,,ngun1277,baird2019
gulambu,,2du_o,2nd dual transitive object,,,,,ngun1277,baird2019
gulambulu,,2du_p,2nd dual possessive,,,,,ngun1277,baird2019
gulanbu,,2pl_a,2nd plural transitive subject,,,,,ngun1277,baird2019
gulanbu,,2pl_s,2nd plural intransitive subject,,,,,ngun1277,baird2019
gulanbu,,2pl_o,2nd plural transitive object,,,,,ngun1277,baird2019
gulanhuru,,2pl_p,2nd plural possessive,,,,,ngun1277,baird2019
dhanu,,3sg_m_a,3rd singular gender1 transitive subject,,,,,ngun1277,baird2019
dhanu,,3sg_m_s,3rd singular gender1 intransitive subject,,,,,ngun1277,baird2019
dhanu,,3sg_m_o,3rd singular gender1 transitive object,,,,,ngun1277,baird2019
dhanugulanga,,3sg_m_p,3rd singular gender1 possessive,,,,,ngun1277,baird2019
dhanu,,3sg_f_a,3rd singular gender2 transitive subject,,,,,ngun1277,baird2019
dhanu,,3sg_f_s,3rd singular gender2 intransitive subject,,,,,ngun1277,baird2019
dhanu,,3sg_f_o,3rd singular gender2 transitive object,,,,,ngun1277,baird2019
dhanugulanga,,3sg_f_p,3rd singular gender2 possessive,,,,,ngun1277,baird2019
dhanudjula,,3d-a,3rd dual transitive subject,,,,,ngun1277,baird2019
dhanudjula,,3d-s,3rd dual intransitive subject,,,,,ngun1277,baird2019
dhanudjula,,3d-o,3rd dual transitive object,,,,,ngun1277,baird2019
dhanudjulangu,,3d-p,3rd dual possessive,,,,,ngun1277,baird2019
dhanudjimalin,,3p-a,3rd plural transitive subject,,,,,ngun1277,baird2019
dhanudjimalin,,3p-s,3rd plural intransitive subject,,,,,ngun1277,baird2019
dhanudjimalin,,3p-o,3rd plural transitive object,,,,,ngun1277,baird2019
dhanudjumulinggu,,3p-p,3rd plural possessive,,,,,ngun1277,baird2019
,,3du_m_a,3rd dual gender1 transitive subject,,,,,ngun1277,baird2019
,,3du_m_s,3rd dual gender1 intransitive subject,,,,,ngun1277,baird2019
,,3du_m_o,3rd dual gender1 transitive object,,,,,ngun1277,baird2019
,,3du_m_p,3rd dual gender1 possessive,,,,,ngun1277,baird2019
,,3du_f_a,3rd dual gender2 transitive subject,,,,,ngun1277,baird2019
,,3du_f_s,3rd dual gender2 intransitive subject,,,,,ngun1277,baird2019
,,3du_f_o,3rd dual gender2 transitive object,,,,,ngun1277,baird2019
,,3du_f_p,3rd dual gender2 possessive,,,,,ngun1277,baird2019
,,3du_n_a,3rd dual gender3 transitive subject,,,,,ngun1277,baird2019
,,3du_n_s,3rd dual gender3 intransitive subject,,,,,ngun1277,baird2019
,,3du_n_o,3rd dual gender3 transitive object,,,,,ngun1277,baird2019
,,3du_n_p,3rd dual gender3 possessive,,,,,ngun1277,baird2019
,,3pl_m_a,3rd plural gender1 transitive subject,,,,,ngun1277,baird2019
,,3pl_m_s,3rd plural gender1 intransitive subject,,,,,ngun1277,baird2019
,,3pl_m_o,3rd plural gender1 transitive object,,,,,ngun1277,baird2019
,,3pl_m_p,3rd plural gender1 possessive,,,,,ngun1277,baird2019
,,3pl_f_a,3rd plural gender2 transitive subject,,,,,ngun1277,baird2019
,,3pl_f_s,3rd plural gender2 intransitive subject,,,,,ngun1277,baird2019
,,3pl_f_o,3rd plural gender2 transitive object,,,,,ngun1277,baird2019
,,3pl_f_p,3rd plural gender2 possessive,,,,,ngun1277,baird2019
,,3pl_n_a,3rd plural gender3 transitive subject,,,,,ngun1277,baird2019
,,3pl_n_s,3rd plural gender3 intransitive subject,,,,,ngun1277,baird2019
,,3pl_n_o,3rd plural gender3 transitive object,,,,,ngun1277,baird2019
,,3pl_n_p,3rd plural gender3 possessive,,,,,ngun1277,baird2019
