word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ayu(ßa),,1sg_a,1st (excl) Person Singular,60976,,,,yadh1237,crowley-1983
ayu(ßa),,1sg_s,1st (excl) Person Singular,60975,,,,yadh1237,crowley-1983
an̪i(ßa),,1sg_o,1st (excl) Person Singular,60974,,,,yadh1237,crowley-1983
at̪umu,,1sg_p,1st (excl) Person Singular,60973,,,,yadh1237,crowley-1983
ampu(la),,1du_a,1st (excl) Person Dual,60972,,,,yadh1237,crowley-1983
ampu(la),,1du_s,1st (excl) Person Dual,60971,,,,yadh1237,crowley-1983
ampa:n̪a,,1du_o,1st (excl) Person Dual,60970,,,,yadh1237,crowley-1983
ampa:mu,,1du_p,1st (excl) Person Dual,60969,,,,yadh1237,crowley-1983
ampu(la),,1pl_a,1st (excl) Person Plural,60968,,,,yadh1237,crowley-1983
ampu(la),,1pl_s,1st (excl) Person Plural,60967,,,,yadh1237,crowley-1983
ampa:n̪a,,1pl_o,1st (excl) Person Plural,60966,,,,yadh1237,crowley-1983
ampa:mu,,1pl_p,1st (excl) Person Plural,60965,,,,yadh1237,crowley-1983
ali(ßa),,12du_a,1st (incl) Person Dual,60964,,,,yadh1237,crowley-1983
ali(ßa),,12du_s,1st (incl) Person Dual,60963,,,,yadh1237,crowley-1983
ali:n̪a,,12du_o,1st (incl) Person Dual,60962,,,,yadh1237,crowley-1983
ali:mu,,12du_p,1st (incl) Person Dual,60961,,,,yadh1237,crowley-1983
ana(ßa),,12pl_a,1st (incl) Person Plural,60960,,,,yadh1237,crowley-1983
ana(ßa),,12pl_s,1st (incl) Person Plural,60959,,,,yadh1237,crowley-1983
ana:n̪a,,12pl_o,1st (incl) Person Plural,60958,,,,yadh1237,crowley-1983
ana:mu,,12pl_p,1st (incl) Person Plural,60957,,,,yadh1237,crowley-1983
antu(ßa),,2sg_a,2nd Person Singular,60956,,,,yadh1237,crowley-1983
antu(ßa),,2sg_s,2nd Person Singular,60955,,,,yadh1237,crowley-1983
in̪a(ßa),,2sg_o,2nd Person Singular,60954,,,,yadh1237,crowley-1983
aŋkumu,,2sg_p,2nd Person Singular,60953,,,,yadh1237,crowley-1983
ipu(la),,2du_a,2nd Person Dual,60952,,,,yadh1237,crowley-1983
ipu(la),,2du_s,2nd Person Dual,60951,,,,yadh1237,crowley-1983
ipa:n̪a,,2du_o,2nd Person Dual,60950,,,,yadh1237,crowley-1983
ipa:mu,,2du_p,2nd Person Dual,60949,,,,yadh1237,crowley-1983
ipu(la),,2pl_a,2nd Person Plural,60948,,,,yadh1237,crowley-1983
ipu(la),,2pl_s,2nd Person Plural,60947,,,,yadh1237,crowley-1983
ipa:n̪a,,2pl_o,2nd Person Plural,60946,,,,yadh1237,crowley-1983
ipa:mu,,2pl_p,2nd Person Plural,60945,,,,yadh1237,crowley-1983
ulu(ßa),,3sg_m_a,3rd Person Singular Masculine,60944,,,,yadh1237,crowley-1983
ulu(ßa),,3sg_m_s,3rd Person Singular Masculine,60943,,,,yadh1237,crowley-1983
un̪u(ßa),,3sg_m_o,3rd Person Singular Masculine,60942,,,,yadh1237,crowley-1983
uŋumu,,3sg_m_p,3rd Person Singular Masculine,60941,,,,yadh1237,crowley-1983
ulu(ßa),,3sg_n_a,3rd Person Singular Neuter,60940,,,,yadh1237,crowley-1983
ulu(ßa),,3sg_n_s,3rd Person Singular Neuter,60939,,,,yadh1237,crowley-1983
un̪u(ßa),,3sg_n_o,3rd Person Singular Neuter,60938,,,,yadh1237,crowley-1983
uŋumu,,3sg_n_p,3rd Person Singular Neuter,60937,,,,yadh1237,crowley-1983
ula(ßa),,3d-a,3rd Person Dual,60936,,,,yadh1237,crowley-1983
ula(ßa),,3d-s,3rd Person Dual,60935,,,,yadh1237,crowley-1983
ula:n̪a,,3d-o,3rd Person Dual,60934,,,,yadh1237,crowley-1983
ula:mu,,3d-p,3rd Person Dual,60933,,,,yadh1237,crowley-1983
ula(ßa),,3p-a,3rd Person Plural,60932,,,,yadh1237,crowley-1983
ula(ßa),,3p-s,3rd Person Plural,60931,,,,yadh1237,crowley-1983
ula:n̪a,,3p-o,3rd Person Plural,60930,,,,yadh1237,crowley-1983
ula:mu,,3p-p,3rd Person Plural,60929,,,,yadh1237,crowley-1983
