word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ngai;;1sg_a;1st (excl) Person Singular;43043;;;;kurt1248;hyslop-2014
ngat;;1sg_s;1st (excl) Person Singular;43042;;;;kurt1248;hyslop-2014
ngat;;1sg_o;1st (excl) Person Singular;43041;;;;kurt1248;hyslop-2014
ngaci;;1sg_p;1st (excl) Person Singular;43040;;;;kurt1248;hyslop-2014
nei;;1pl_a;1st (excl) Person Plural;43039;;;;kurt1248;hyslop-2014
net;;1pl_s;1st (excl) Person Plural;43038;;;;kurt1248;hyslop-2014
net;;1pl_o;1st (excl) Person Plural;43037;;;;kurt1248;hyslop-2014
neri;;1pl_p;1st (excl) Person Plural;43036;;;;kurt1248;hyslop-2014
neri;;12pl_a;1st (incl) Person Plural;43035;;;;kurt1248;hyslop-2014
nera;;12pl_s;1st (incl) Person Plural;43034;;;;kurt1248;hyslop-2014
nera;;12pl_o;1st (incl) Person Plural;43033;;;;kurt1248;hyslop-2014
neri;;12pl_p;1st (incl) Person Plural;43032;;;;kurt1248;hyslop-2014
wî;;2sg_a;2nd Person Singular;43031;;;;kurt1248;hyslop-2014
wit;;2sg_s;2nd Person Singular;43030;;;;kurt1248;hyslop-2014
wit;;2sg_o;2nd Person Singular;43029;;;;kurt1248;hyslop-2014
wici;;2sg_p;2nd Person Singular;43028;;;;kurt1248;hyslop-2014
ningi;;2pl_a;2nd Person Plural;43027;;;;kurt1248;hyslop-2014
nin;;2pl_s;2nd Person Plural;43026;;;;kurt1248;hyslop-2014
nin;;2pl_o;2nd Person Plural;43025;;;;kurt1248;hyslop-2014
ninci;;2pl_p;2nd Person Plural;43024;;;;kurt1248;hyslop-2014
khî;;3sg_m_a;3rd Person Singular Masculine;43023;;;;kurt1248;hyslop-2014
khit;;3sg_m_s;3rd Person Singular Masculine;43022;;;;kurt1248;hyslop-2014
khit;;3sg_m_o;3rd Person Singular Masculine;43021;;;;kurt1248;hyslop-2014
khici;;3sg_m_p;3rd Person Singular Masculine;43020;;;;kurt1248;hyslop-2014
boi;;3p-a;3rd Person Plural;43019;;;;kurt1248;hyslop-2014
bot;;3p-s;3rd Person Plural;43018;;;;kurt1248;hyslop-2014
bot;;3p-o;3rd Person Plural;43017;;;;kurt1248;hyslop-2014
boci;;3p-p;3rd Person Plural;43016;;;;kurt1248;hyslop-2014
