word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
go,,1sg_a,1st (excl) Person Singular,44295,,,,lepc1244,plaisier-2007
go,,1sg_s,1st (excl) Person Singular,44294,,,,lepc1244,plaisier-2007
kasɯm,,1sg_o,1st (excl) Person Singular,44293,,,,lepc1244,plaisier-2007
kasɯsə,,1sg_p,1st (excl) Person Singular,44292,,,,lepc1244,plaisier-2007
kanji,,1du_a,1st (excl) Person Dual,44291,,,,lepc1244,plaisier-2007
kanji,,1du_s,1st (excl) Person Dual,44290,,,,lepc1244,plaisier-2007
kanjim,,1du_o,1st (excl) Person Dual,44289,,,,lepc1244,plaisier-2007
kanjisə,,1du_p,1st (excl) Person Dual,44288,,,,lepc1244,plaisier-2007
kaju,,1pl_a,1st (excl) Person Plural,44287,,,,lepc1244,plaisier-2007
kaju,,1pl_s,1st (excl) Person Plural,44286,,,,lepc1244,plaisier-2007
kajum,,1pl_o,1st (excl) Person Plural,44285,,,,lepc1244,plaisier-2007
kajusə,,1pl_p,1st (excl) Person Plural,44284,,,,lepc1244,plaisier-2007
kanji,,12du_a,1st (incl) Person Dual,44283,,,,lepc1244,plaisier-2007
kanji,,12du_s,1st (incl) Person Dual,44282,,,,lepc1244,plaisier-2007
kanjim,,12du_o,1st (incl) Person Dual,44281,,,,lepc1244,plaisier-2007
kanjisə,,12du_p,1st (incl) Person Dual,44280,,,,lepc1244,plaisier-2007
kaju,,12pl_a,1st (incl) Person Plural,44279,,,,lepc1244,plaisier-2007
kaju,,12pl_s,1st (incl) Person Plural,44278,,,,lepc1244,plaisier-2007
kajum,,12pl_o,1st (incl) Person Plural,44277,,,,lepc1244,plaisier-2007
kajusə,,12pl_p,1st (incl) Person Plural,44276,,,,lepc1244,plaisier-2007
hɔ,,2sg_a,2nd Person Singular,44275,,,,lepc1244,plaisier-2007
hɔ,,2sg_s,2nd Person Singular,44274,,,,lepc1244,plaisier-2007
ʔadom,,2sg_o,2nd Person Singular,44273,,,,lepc1244,plaisier-2007
ʔadosə,,2sg_p,2nd Person Singular,44272,,,,lepc1244,plaisier-2007
ʔanji,,2du_a,2nd Person Dual,44271,,,,lepc1244,plaisier-2007
ʔanji,,2du_s,2nd Person Dual,44270,,,,lepc1244,plaisier-2007
ʔanjim,,2du_o,2nd Person Dual,44269,,,,lepc1244,plaisier-2007
ʔanjisə,,2du_p,2nd Person Dual,44268,,,,lepc1244,plaisier-2007
ʔaju,,2pl_a,2nd Person Plural,44267,,,,lepc1244,plaisier-2007
ʔaju,,2pl_s,2nd Person Plural,44266,,,,lepc1244,plaisier-2007
ʔajum,,2pl_o,2nd Person Plural,44265,,,,lepc1244,plaisier-2007
ʔajusə,,2pl_p,2nd Person Plural,44264,,,,lepc1244,plaisier-2007
hɯ,,3sg_m_a,3rd Person Singular Masculine,44263,,,,lepc1244,plaisier-2007
hɯ,,3sg_m_s,3rd Person Singular Masculine,44262,,,,lepc1244,plaisier-2007
hɯdom,,3sg_m_o,3rd Person Singular Masculine,44261,,,,lepc1244,plaisier-2007
hɯdosə,,3sg_m_p,3rd Person Singular Masculine,44260,,,,lepc1244,plaisier-2007
hɯ,,3sg_n_a,3rd Person Singular Neuter,44259,,,,lepc1244,plaisier-2007
hɯ,,3sg_n_s,3rd Person Singular Neuter,44258,,,,lepc1244,plaisier-2007
hɯdom,,3sg_n_o,3rd Person Singular Neuter,44257,,,,lepc1244,plaisier-2007
hɯdosə,,3sg_n_p,3rd Person Singular Neuter,44256,,,,lepc1244,plaisier-2007
hɯnji,,3d-a,3rd Person Dual,44255,,,,lepc1244,plaisier-2007
hɯnji,,3d-s,3rd Person Dual,44254,,,,lepc1244,plaisier-2007
hɯnjim,,3d-o,3rd Person Dual,44253,,,,lepc1244,plaisier-2007
hɯnjisə,,3d-p,3rd Person Dual,44252,,,,lepc1244,plaisier-2007
hɯju,,3p-a,3rd Person Plural,44251,,,,lepc1244,plaisier-2007
hɯju,,3p-s,3rd Person Plural,44250,,,,lepc1244,plaisier-2007
hɯjum,,3p-o,3rd Person Plural,44249,,,,lepc1244,plaisier-2007
hɯjusə,,3p-p,3rd Person Plural,44248,,,,lepc1244,plaisier-2007
