word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ben̪;;1sg_a;1st (excl) Person Singular;43467;;;;nucl1301;goksel-and-kerslake-2005
ben̪;;1sg_s;1st (excl) Person Singular;43466;;;;nucl1301;goksel-and-kerslake-2005
ben̪i;;1sg_o;1st (excl) Person Singular;43465;;;;nucl1301;goksel-and-kerslake-2005
ben̪im;;1sg_p;1st (excl) Person Singular;43464;;;;nucl1301;goksel-and-kerslake-2005
biz;;1du_a;1st (excl) Person Dual;43463;;;;nucl1301;goksel-and-kerslake-2005
biz;;1du_s;1st (excl) Person Dual;43462;;;;nucl1301;goksel-and-kerslake-2005
bizi;;1du_o;1st (excl) Person Dual;43461;;;;nucl1301;goksel-and-kerslake-2005
bizim;;1du_p;1st (excl) Person Dual;43460;;;;nucl1301;goksel-and-kerslake-2005
biz;;1pl_a;1st (excl) Person Plural;43459;;;;nucl1301;goksel-and-kerslake-2005
biz;;1pl_s;1st (excl) Person Plural;43458;;;;nucl1301;goksel-and-kerslake-2005
bizi;;1pl_o;1st (excl) Person Plural;43457;;;;nucl1301;goksel-and-kerslake-2005
bizim;;1pl_p;1st (excl) Person Plural;43456;;;;nucl1301;goksel-and-kerslake-2005
biz;;12du_a;1st (incl) Person Dual;43455;;;;nucl1301;goksel-and-kerslake-2005
biz;;12du_s;1st (incl) Person Dual;43454;;;;nucl1301;goksel-and-kerslake-2005
bizi;;12du_o;1st (incl) Person Dual;43453;;;;nucl1301;goksel-and-kerslake-2005
bizim;;12du_p;1st (incl) Person Dual;43452;;;;nucl1301;goksel-and-kerslake-2005
biz;;12pl_a;1st (incl) Person Plural;43451;;;;nucl1301;goksel-and-kerslake-2005
biz;;12pl_s;1st (incl) Person Plural;43450;;;;nucl1301;goksel-and-kerslake-2005
bizi;;12pl_o;1st (incl) Person Plural;43449;;;;nucl1301;goksel-and-kerslake-2005
bizim;;12pl_p;1st (incl) Person Plural;43448;;;;nucl1301;goksel-and-kerslake-2005
sen̪;;2sg_a;2nd Person Singular;43447;;;;nucl1301;goksel-and-kerslake-2005
sen̪;;2sg_s;2nd Person Singular;43446;;;;nucl1301;goksel-and-kerslake-2005
sen̪i;;2sg_o;2nd Person Singular;43445;;;;nucl1301;goksel-and-kerslake-2005
sen̪in̪;;2sg_p;2nd Person Singular;43444;;;;nucl1301;goksel-and-kerslake-2005
siz;;2du_a;2nd Person Dual;43443;;;;nucl1301;goksel-and-kerslake-2005
siz;;2du_s;2nd Person Dual;43442;;;;nucl1301;goksel-and-kerslake-2005
sizi;;2du_o;2nd Person Dual;43441;;;;nucl1301;goksel-and-kerslake-2005
sizin̪;;2du_p;2nd Person Dual;43440;;;;nucl1301;goksel-and-kerslake-2005
siz;;2pl_a;2nd Person Plural;43439;;;;nucl1301;goksel-and-kerslake-2005
siz;;2pl_s;2nd Person Plural;43438;;;;nucl1301;goksel-and-kerslake-2005
sizi;;2pl_o;2nd Person Plural;43437;;;;nucl1301;goksel-and-kerslake-2005
sizin̪;;2pl_p;2nd Person Plural;43436;;;;nucl1301;goksel-and-kerslake-2005
o;;3sg_m_a;3rd Person Singular Masculine;43435;;;;nucl1301;goksel-and-kerslake-2005
o;;3sg_m_s;3rd Person Singular Masculine;43434;;;;nucl1301;goksel-and-kerslake-2005
on̪u;;3sg_m_o;3rd Person Singular Masculine;43433;;Corrected by T. Mark Ellison;;nucl1301;goksel-and-kerslake-2005
on̪un̪;;3sg_m_p;3rd Person Singular Masculine;43432;;Corrected by T. Mark Ellison;;nucl1301;goksel-and-kerslake-2005
o;;3sg_n_a;3rd Person Singular Neuter;43431;;;;nucl1301;goksel-and-kerslake-2005
o;;3sg_n_s;3rd Person Singular Neuter;43430;;;;nucl1301;goksel-and-kerslake-2005
on̪u;;3sg_n_o;3rd Person Singular Neuter;43429;;Corrected by T. Mark Ellison;;nucl1301;goksel-and-kerslake-2005
on̪un̪;;3sg_n_p;3rd Person Singular Neuter;43428;;Corrected by T. Mark Ellison;;nucl1301;goksel-and-kerslake-2005
on̪laɾ;;3d-a;3rd Person Dual;43427;;;;nucl1301;goksel-and-kerslake-2005
on̪laɾ;;3d-s;3rd Person Dual;43426;;;;nucl1301;goksel-and-kerslake-2005
on̪laɾı;;3d-o;3rd Person Dual;43425;;Corrected by T. Mark Ellison;;nucl1301;goksel-and-kerslake-2005
on̪laɾın̪;;3d-p;3rd Person Dual;43424;;Corrected by T. Mark Ellison;;nucl1301;goksel-and-kerslake-2005
on̪laɾ;;3p-a;3rd Person Plural;43423;;;;nucl1301;goksel-and-kerslake-2005
on̪laɾ;;3p-s;3rd Person Plural;43422;;;;nucl1301;goksel-and-kerslake-2005
on̪laɾı;;3p-o;3rd Person Plural;43421;;Corrected by T. Mark Ellison;;nucl1301;goksel-and-kerslake-2005
on̪laɾın̪;;3p-p;3rd Person Plural;43420;;Corrected by T. Mark Ellison;;nucl1301;goksel-and-kerslake-2005
